slug,coach,coach_id,ending,total_games,total_wins,total_losses,start_rating,end_rating,improvement,top,bottom,middle,last_improvement
brownmi99c|05|10|CLE,Mike Brown,brownmi99c,fired,410.0,272.0,138.0,1480.5029,1701.4937,220.9908,1762.7637,1470.3197,1565.9216,31.928
scottby01c|10|13|CLE,Byron Scott,scottby01c,fired,230.0,64.0,166.0,1617.5342,1324.0431,-293.4911,1617.5342,1266.4852,1354.10465,-33.4717
brownmi99c|13|14|CLE,Mike Brown,brownmi99c,fired,82.0,33.0,49.0,1377.5465,1449.9618,72.4153,1468.439,1330.8328,1374.9582,72.4153
blattda99c|14|16|CLE,David Blatt,blattda99c,fired,123.0,83.0,40.0,1455.226,1669.30270511,214.07670511,1682.34676828,1431.6313,1610.2965,28.39841322
luety01c|16|17|CLE,Tyronn Lue,luety01c,,152.0,99.0,53.0,1644.54531032,1637.12628845,-7.41902187,1711.33228941,1536.76372588,1648.54265164,-13.00289581
nelsodo01c|00|05|DAL,Don Nelson,nelsodo01c,resigned,392.0,264.0,128.0,1545.2712,1596.7612,51.49,1725.7023,1505.4712,1617.6858,-5.2898
johnsav01c|05|08|DAL,Avery Johnson,johnsav01c,fired,264.0,194.0,70.0,1597.9155,1608.4191,10.5036,1773.131,1582.941,1647.64775,-32.0497
carliri01c|08|17|DAL,Rick Carlisle,carliri01c,,751.0,421.0,330.0,1550.8833,1443.98661,-106.89669,1675.6311,1379.84765632,1560.6396,12.0265334
isselda01c|00|01|DEN,Dan Issel,isselda01c,resigned,108.0,49.0,59.0,1432.5206,1427.5159,-5.0047,1542.9404,1419.9487,1457.84215,-51.269
evansmi01c|01|02|DEN,Mike Evans,evansmi01c,interim only,56.0,18.0,38.0,1423.4229,1378.79,-44.6329,1434.5573,1334.2935,1389.43955,-44.6329
bzdelje99c|02|04|DEN,Jeff Bzdelik,bzdelje99c,fired,192.0,73.0,119.0,1407.3954,1476.1049,68.7095,1543.9059,1271.3607,1432.7535,-53.7276
coopemi01c|04|05|DEN,Michael Cooper,coopemi01c,interim only,14.0,4.0,10.0,1480.8812,1453.043,-27.8382,1480.8812,1435.7089,1457.6456,-27.8382
karlge01c|05|13|DEN,George Karl,karlge01c,fired,680.0,423.0,257.0,1463.1234,1693.4648,230.3414,1697.6748,1461.2112,1577.2667,124.734
shawbr01c|13|15|DEN,Brian Shaw,shawbr01c,fired,141.0,56.0,85.0,1608.2377,1353.3379,-254.8998,1634.8601,1353.3379,1480.5558,-124.3752
huntme01c|15|15|DEN,Melvin Hunt,huntme01c,interim only,23.0,10.0,13.0,1366.9797,1422.3618,55.3821,1443.4148,1366.9797,1422.3618,55.3821
malonmi99c|15|17|DEN,Mike Malone,malonmi99c,,192.0,88.0,104.0,1477.81096361,1534.05271176,56.24174815,1555.55825207,1404.07856056,1454.99760099,-0.18397891
irvinge01c|00|01|DET,George Irvine,irvinge01c,fired,82.0,32.0,50.0,1529.743,1436.8629,-92.8801,1529.743,1381.9542,1431.0401,-92.8801
carliri01c|01|03|DET,Rick Carlisle,carliri01c,fired,164.0,100.0,64.0,1451.0946,1559.5148,108.4202,1650.4094,1447.7196,1559.27345,21.1607
