franchise,team,year,coaches_text,coach,coach_id,wins,losses,games,order
NYK,NYK,2018,J. Hornacek (15-13),J. Hornacek,hornaje01c,15,13,28,1
NYK,NYK,2017,J. Hornacek (31-51),J. Hornacek,hornaje01c,31,51,82,1
NYK,NYK,2016,"D. Fisher (23-31), K. Rambis (9-19)",K. Rambis,rambiku01c,9,19,28,2
NYK,NYK,2016,"D. Fisher (23-31), K. Rambis (9-19)",D. Fisher,fishede01c,23,31,54,1
NYK,NYK,2015,D. Fisher (17-65),D. Fisher,fishede01c,17,65,82,1
NYK,NYK,2014,M. Woodson (37-45),M. Woodson,woodsmi01c,37,45,82,1
NYK,NYK,2013,M. Woodson (54-28),M. Woodson,woodsmi01c,54,28,82,1
NYK,NYK,2012,"M. D'Antoni (18-24), M. Woodson (18-6)",M. Woodson,woodsmi01c,18,6,24,2
NYK,NYK,2012,"M. D'Antoni (18-24), M. Woodson (18-6)",M. D'Antoni,dantomi01c,18,24,42,1
NYK,NYK,2011,M. D'Antoni (42-40),M. D'Antoni,dantomi01c,42,40,82,1
NYK,NYK,2010,M. D'Antoni (29-53),M. D'Antoni,dantomi01c,29,53,82,1
NYK,NYK,2009,M. D'Antoni (32-50),M. D'Antoni,dantomi01c,32,50,82,1
NYK,NYK,2008,I. Thomas (23-59),I. Thomas,thomais01c,23,59,82,1
NYK,NYK,2007,I. Thomas (33-49),I. Thomas,thomais01c,33,49,82,1
NYK,NYK,2006,L. Brown (23-59),L. Brown,brownla01c,23,59,82,1
NYK,NYK,2005,"L. Wilkens (17-22), H. Williams (16-27)",H. Williams,willihe01c,16,27,43,2
NYK,NYK,2005,"L. Wilkens (17-22), H. Williams (16-27)",L. Wilkens,wilkele01c,17,22,39,1
NYK,NYK,2004,"D. Chaney (15-24), H. Williams (1-0), L. Wilkens (23-19)",L. Wilkens,wilkele01c,23,19,42,3
NYK,NYK,2004,"D. Chaney (15-24), H. Williams (1-0), L. Wilkens (23-19)",H. Williams,willihe01c,1,0,1,2
NYK,NYK,2004,"D. Chaney (15-24), H. Williams (1-0), L. Wilkens (23-19)",D. Chaney,chanedo01c,15,24,39,1
NYK,NYK,2003,D. Chaney (37-45),D. Chaney,chanedo01c,37,45,82,1
NYK,NYK,2002,"J. Van Gundy (10-9), D. Chaney (20-43)",D. Chaney,chanedo01c,20,43,63,2
NYK,NYK,2002,"J. Van Gundy (10-9), D. Chaney (20-43)",J. Van Gundy,vanguje99c,10,9,19,1
NYK,NYK,2001,J. Van Gundy (48-34),J. Van Gundy,vanguje99c,48,34,82,1
SEAOKC,OKC,2018,B. Donovan (13-14),B. Donovan,donovbi99c,13,14,27,1
SEAOKC,OKC,2017,B. Donovan (47-35),B. Donovan,donovbi99c,47,35,82,1
SEAOKC,OKC,2016,B. Donovan (55-27),B. Donovan,donovbi99c,55,27,82,1
SEAOKC,OKC,2015,S. Brooks (45-37),S. Brooks,brooksc01c,45,37,82,1
SEAOKC,OKC,2014,S. Brooks (59-23),S. Brooks,brooksc01c,59,23,82,1
SEAOKC,OKC,2013,S. Brooks (60-22),S. Brooks,brooksc01c,60,22,82,1
SEAOKC,OKC,2012,S. Brooks (47-19),S. Brooks,brooksc01c,47,19,66,1
SEAOKC,OKC,2011,S. Brooks (55-27),S. Brooks,brooksc01c,55,27,82,1
SEAOKC,OKC,2010,S. Brooks (50-32),S. Brooks,brooksc01c,50,32,82,1
SEAOKC,OKC,2009,"P. Carlesimo (1-12), S. Brooks (22-47)",S. Brooks,brooksc01c,22,47,69,2
SEAOKC,OKC,2009,"P. Carlesimo (1-12), S. Brooks (22-47)",P. Carlesimo,carlepj99c,1,12,13,1
SEAOKC,SEA,2008,P. Carlesimo (20-62),P. Carlesimo,carlepj99c,20,62,82,1
SEAOKC,SEA,2007,B. Hill (31-51),B. Hill,hillbo99c,31,51,82,1
SEAOKC,SEA,2006,"B. Weiss (13-17), B. Hill (22-30)",B. Hill,hillbo99c,22,30,52,2
SEAOKC,SEA,2006,"B. Weiss (13-17), B. Hill (22-30)",B. Weiss,weissbo01c,13,17,30,1
SEAOKC,SEA,2005,N. McMillan (52-30),N. McMillan,mcmilna01c,52,30,82,1
SEAOKC,SEA,2004,N. McMillan (37-45),N. McMillan,mcmilna01c,37,45,82,1
SEAOKC,SEA,2003,N. McMillan (40-42),N. McMillan,mcmilna01c,40,42,82,1
SEAOKC,SEA,2002,N. McMillan (45-37),N. McMillan,mcmilna01c,45,37,82,1
SEAOKC,SEA,2001,"P. Westphal (6-9), N. McMillan (38-29)",N. McMillan,mcmilna01c,38,29,67,2
SEAOKC,SEA,2001,"P. Westphal (6-9), N. McMillan (38-29)",P. Westphal,westppa01c,6,9,15,1
ORL,ORL,2018,F. Vogel (11-18),F. Vogel,vogelfr99c,11,18,29,1
ORL,ORL,2017,F. Vogel (29-53),F. Vogel,vogelfr99c,29,53,82,1
ORL,ORL,2016,S. Skiles (35-47),S. Skiles,skilesc01c,35,47,82,1
ORL,ORL,2015,"J. Vaughn (15-37), J. Borrego (10-20)",J. Borrego,borreja99c,10,20,30,2
ORL,ORL,2015,"J. Vaughn (15-37), J. Borrego (10-20)",J. Vaughn,vaughja01c,15,37,52,1
ORL,ORL,2014,J. Vaughn (23-59),J. Vaughn,vaughja01c,23,59,82,1
ORL,ORL,2013,J. Vaughn (20-62),J. Vaughn,vaughja01c,20,62,82,1
ORL,ORL,2012,S. Van Gundy (37-29),S. Van Gundy,vangust99c,37,29,66,1
ORL,ORL,2011,S. Van Gundy (52-30),S. Van Gundy,vangust99c,52,30,82,1
ORL,ORL,2010,S. Van Gundy (59-23),S. Van Gundy,vangust99c,59,23,82,1
ORL,ORL,2009,S. Van Gundy (59-23),S. Van Gundy,vangust99c,59,23,82,1
ORL,ORL,2008,S. Van Gundy (52-30),S. Van Gundy,vangust99c,52,30,82,1
ORL,ORL,2007,B. Hill (40-42),B. Hill,hillbr99c,40,42,82,1
ORL,ORL,2006,B. Hill (36-46),B. Hill,hillbr99c,36,46,82,1
ORL,ORL,2005,"J. Davis (31-33), C. Jent (5-13)",C. Jent,jentch01c,5,13,18,2
ORL,ORL,2005,"J. Davis (31-33), C. Jent (5-13)",J. Davis,davisjo01c,31,33,64,1
ORL,ORL,2004,"D. Rivers (1-10), J. Davis (20-51)",J. Davis,davisjo01c,20,51,71,2
ORL,ORL,2004,"D. Rivers (1-10), J. Davis (20-51)",D. Rivers,riverdo01c,1,10,11,1
ORL,ORL,2003,D. Rivers (42-40),D. Rivers,riverdo01c,42,40,82,1
ORL,ORL,2002,D. Rivers (44-38),D. Rivers,riverdo01c,44,38,82,1
ORL,ORL,2001,D. Rivers (43-39),D. Rivers,riverdo01c,43,39,82,1
PHI,PHI,2018,B. Brown (14-13),B. Brown,brownbr99c,14,13,27,1
PHI,PHI,2017,B. Brown (28-54),B. Brown,brownbr99c,28,54,82,1
PHI,PHI,2016,B. Brown (10-72),B. Brown,brownbr99c,10,72,82,1
PHI,PHI,2015,B. Brown (18-64),B. Brown,brownbr99c,18,64,82,1
PHI,PHI,2014,B. Brown (19-63),B. Brown,brownbr99c,19,63,82,1
PHI,PHI,2013,D. Collins (34-48),D. Collins,collido01c,34,48,82,1
PHI,PHI,2012,D. Collins (35-31),D. Collins,collido01c,35,31,66,1
PHI,PHI,2011,D. Collins (41-41),D. Collins,collido01c,41,41,82,1
PHI,PHI,2010,E. Jordan (27-55),E. Jordan,jordaed01c,27,55,82,1
