slug,coach,coach_id,franchise,seasons,games,wins,losses,min_date,max_date,left_truncated
irvinge01c|00|01|DET,George Irvine,irvinge01c,DET,1,82,32,50,2000-10-31,2001-04-18,True
carliri01c|01|03|DET,Rick Carlisle,carliri01c,DET,2,164,100,64,2001-10-30,2003-04-16,False
brownla01c|03|05|DET,Larry Brown,brownla01c,DET,2,164,108,56,2003-10-29,2005-04-20,False
saundfl99c|05|08|DET,Flip Saunders,saundfl99c,DET,3,246,176,70,2005-11-02,2008-04-16,False
currymi01c|08|09|DET,Michael Curry,currymi01c,DET,1,82,39,43,2008-10-29,2009-04-15,False
kuestjo01c|09|11|DET,John Kuester,kuestjo01c,DET,2,164,57,107,2009-10-28,2011-04-13,False
frankla99c|11|13|DET,Lawrence Frank,frankla99c,DET,2,148,54,94,2011-12-26,2013-04-17,False
cheekma01c|13|14|DET,Maurice Cheeks,cheekma01c,DET,1,50,21,29,2013-10-30,2014-02-08,False
loyerjo99c|14|14|DET,John Loyer,loyerjo99c,DET,1,32,8,24,2014-02-10,2014-04-16,False
vangust99c|14|17|DET,Stan Van Gundy,vangust99c,DET,4,274,128,146,2014-10-29,2017-12-14,False
cowenda01c|00|01|GSW,Dave Cowens,cowenda01c,GSW,2,105,25,80,2000-10-31,2001-12-13,True
wintebr01c|01|02|GSW,Brian Winters,wintebr01c,GSW,1,59,13,46,2001-12-15,2002-04-17,False
musseer99c|02|04|GSW,Eric Musselman,musseer99c,GSW,2,164,75,89,2002-10-30,2004-04-14,False
montgmi99c|04|06|GSW,Mike Montgomery,montgmi99c,GSW,2,164,68,96,2004-11-03,2006-04-19,False
nelsodo01c|06|10|GSW,Don Nelson,nelsodo01c,GSW,4,328,145,183,2006-11-01,2010-04-14,False
smartke01c|10|11|GSW,Keith Smart,smartke01c,GSW,1,82,36,46,2010-10-27,2011-04-13,False
jacksma01c|11|14|GSW,Mark Jackson,jacksma01c,GSW,3,230,121,109,2011-12-25,2014-04-16,False
kerrst01c|14|17|GSW,Steve Kerr,kerrst01c,GSW,4,275,230,45,2014-10-29,2017-12-14,False
tomjaru01c|00|03|HOU,Rudy Tomjanovich,tomjaru01c,HOU,3,246,116,130,2000-10-31,2003-04-16,True
vanguje99c|03|07|HOU,Jeff Van Gundy,vanguje99c,HOU,4,328,182,146,2003-10-30,2007-04-18,False
adelmri01c|07|11|HOU,Rick Adelman,adelmri01c,HOU,4,328,193,135,2007-10-30,2011-04-13,False
mchalke01c|11|15|HOU,Kevin McHale,mchalke01c,HOU,5,323,193,130,2011-12-26,2015-11-16,False
bickejb01c|15|16|HOU,J.B. Bickerstaff,bickejb01c,HOU,1,71,37,34,2015-11-18,2016-04-13,False
dantomi01c|16|17|HOU,Mike D'Antoni,dantomi01c,HOU,2,108,77,31,2016-10-26,2017-12-13,False
thomais01c|00|03|IND,Isiah Thomas,thomais01c,IND,3,246,131,115,2000-10-31,2003-04-16,True
carliri01c|03|07|IND,Rick Carlisle,carliri01c,IND,4,328,181,147,2003-10-29,2007-04-18,False
obrieji99c|07|11|IND,Jim O'Brien,obrieji99c,IND,4,290,121,169,2007-10-31,2011-01-29,False
