conference,school,coach,start,end,years,games,wins,losses,ties,win_pct,bowl_games,bowl_wins,bowl_losses,bowl_ties,bowl_pct,reason
pac,southern cal,Lane Kiffin,2010,2013,4,43,28,15,0,0.651,1,0,1,0,0,fired
pac,southern cal,Ed Orgeron,2013,2013,1,8,6,2,0,0.75,0,1,0,0,1,interim only
pac,southern cal,Clay Helton,2013,2016,2,19,12,7,0,0.632,1,0,1,0,0,current
pac,southern cal,Steve Sarkisian,2014,2015,2,18,12,6,0,0.667,1,1,0,0,1,fired with cause
pac,stanford,Tyrone Willingham,1995,2001,7,81,44,36,1,0.549,4,1,3,0,0.25,changed jobs
pac,stanford,Buddy Teevens,2002,2004,3,33,10,23,0,0.303,0,0,0,0,,fired
pac,stanford,Walt Harris,2005,2006,2,23,6,17,0,0.261,0,0,0,0,,fired
pac,stanford,Jim Harbaugh,2007,2010,4,50,29,21,0,0.58,2,1,1,0,0.5,changed jobs
pac,stanford,David Shaw,2011,2016,6,78,61,17,0,0.782,5,3,2,0,0.6,current
acc,syracuse,Paul Pasqualoni,1991,2004,14,167,107,59,1,0.644,9,6,3,0,0.667,fired
acc,syracuse,Greg Robinson,2005,2008,4,47,10,37,0,0.213,0,0,0,0,,fired
acc,syracuse,Doug Marrone,2009,2012,4,50,25,25,0,0.5,2,2,0,0,1,changed jobs
acc,syracuse,Scott Shafer,2013,2015,3,37,14,23,0,0.378,1,1,0,0,1,fired
acc,syracuse,Dino Babers,2016,2016,1,10,4,6,0,0.4,0,0,0,0,,current
sec,tennessee,Phillip Fulmer,1992,2008,17,204,151,52,1,0.743,15,8,7,0,0.533,fired
sec,tennessee,Lane Kiffin,2009,2009,1,13,7,6,0,0.538,1,0,1,0,0,changed jobs
sec,tennessee,Derek Dooley,2010,2012,3,36,15,21,0,0.417,1,0,1,0,0,fired
sec,tennessee,Jim Chaney,2012,2012,1,1,1,0,0,1,0,0,0,0,,interim only
sec,tennessee,Butch Jones,2013,2016,4,48,28,20,0,0.583,2,2,0,0,1,current
big_xii,texas,Mack Brown,1998,2013,16,206,158,48,0,0.767,15,10,5,0,0.667,resigned
big_xii,texas,Charlie Strong,2014,2016,3,35,16,19,0,0.457,1,0,1,0,0,current
sec,texas a&m,R.C. Slocum,1989,2002,14,172,123,47,2,0.721,11,3,8,0,0.273,resigned
sec,texas a&m,Dennis Franchione,2003,2007,5,61,32,29,0,0.525,3,0,3,0,0,resigned
sec,texas a&m,Mike Sherman,2008,2011,4,50,25,25,0,0.5,2,0,2,0,0,fired
sec,texas a&m,Tim DeRuyter,2011,2011,1,1,1,0,0,1,1,1,0,0,1,interim only
sec,texas a&m,Kevin Sumlin,2012,2016,5,62,43,19,0,0.694,4,3,1,0,0.75,current
big_xii,texas tech,Mike Leach,2000,2009,10,127,84,43,0,0.661,9,5,4,0,0.556,fired
big_xii,texas tech,Ruffin McNeill,2009,2009,1,1,1,0,0,1,1,1,0,0,1,interim only
big_xii,texas tech,Tommy Tuberville,2010,2012,3,37,20,17,0,0.541,1,1,0,0,1,changed jobs
big_xii,texas tech,Chris Thomsen,2012,2012,1,1,1,0,0,1,1,1,0,0,1,interim only
big_xii,texas tech,Kliff Kingsbury,2013,2016,4,48,23,25,0,0.479,2,1,1,0,0.5,current
pac,ucla,Bob Toledo,1996,2002,7,81,49,32,0,0.605,3,1,2,0,0.333,fired
pac,ucla,Ed Kezirian,2002,2002,1,1,1,0,0,1,1,1,0,0,1,interim only
pac,ucla,Karl Dorrell,2003,2007,5,62,35,27,0,0.565,4,1,3,0,0.25,fired
pac,ucla,DeWayne Walker,2007,2007,1,1,0,1,0,0,1,0,1,0,0,interim only
pac,ucla,Rick Neuheisel,2008,2011,4,49,21,28,0,0.429,1,1,0,0,1,fired
pac,ucla,Mike Johnson,2011,2011,1,2,0,2,0,0,1,0,1,0,0,interim only
pac,ucla,Jim Mora,2012,2016,5,63,41,22,0,0.651,4,2,2,0,0.5,current
pac,utah,Ron McBride,1990,2002,13,151,88,63,0,0.583,6,3,3,0,0.5,fired
pac,utah,Urban Meyer,2003,2004,2,24,22,2,0,0.917,2,2,0,0,1,changed jobs
pac,utah,Kyle Whittingham,2004,2016,13,151,103,48,0,0.682,10,9,1,0,0.9,current
acc,virginia,George Welsh,1982,2000,19,223,134,86,3,0.608,12,4,8,0,0.333,retired
acc,virginia,Al Groh,2001,2009,9,112,59,53,0,0.527,5,3,2,0,0.6,fired
acc,virginia,Mike London,2010,2015,6,73,27,46,0,0.37,1,0,1,0,0,resigned
acc,virginia,Bronco Mendenhall,2016,2016,1,10,2,8,0,0.2,0,0,0,0,,current
acc,virginia tech,Frank Beamer,1987,2015,29,361,238,121,2,0.662,23,11,12,0,0.478,retired
acc,virginia tech,Justin Fuente,2016,2016,1,10,7,3,0,0.7,0,0,0,0,,current
acc,wake forest,Jim Caldwell,1993,2000,8,89,26,63,0,0.292,1,1,0,0,1,fired
acc,wake forest,Jim Grobe,2001,2013,13,159,77,82,0,0.484,5,3,2,0,0.6,resigned
acc,wake forest,Dave Clawson,2014,2016,3,34,12,22,0,0.353,0,0,0,0,,current
pac,washington,Rick Neuheisel,1999,2002,4,49,33,16,0,0.673,4,1,3,0,0.25,fired with cause
pac,washington,Keith Gilbertson,2003,2004,2,23,7,16,0,0.304,0,0,0,0,,fired
pac,washington,Tyrone Willingham,2005,2008,4,48,11,37,0,0.229,0,0,0,0,,fired
pac,washington,Steve Sarkisian,2009,2013,5,63,34,29,0,0.54,3,1,2,0,0.333,changed jobs
pac,washington,Marques Tuiasosopo,2013,2013,1,1,1,0,0,1,1,1,0,0,1,interim only
pac,washington,Chris Petersen,2014,2016,3,37,24,13,0,0.649,2,1,1,0,0.5,current
pac,washington state,Mike Price,1989,2002,14,161,83,78,0,0.516,5,3,2,0,0.6,changed jobs
pac,washington state,Bill Doba,2003,2007,5,59,30,29,0,0.508,1,1,0,0,1,fired
pac,washington state,Paul Wulff,2008,2011,4,49,9,40,0,0.184,0,0,0,0,,fired
pac,washington state,Mike Leach,2012,2016,5,60,29,31,0,0.483,2,1,1,0,0.5,current
big_xii,west virginia,Don Nehlen,1980,2000,21,246,149,93,4,0.614,13,4,9,0,0.308,retired
big_xii,west virginia,Rich Rodriguez,2001,2007,7,86,60,26,0,0.698,5,2,3,0,0.4,changed jobs
big_xii,west virginia,Bill Stewart,2007,2010,4,40,28,12,0,0.7,4,2,2,0,0.333,fired
big_xii,west virginia,Dana Holgorsen,2011,2016,6,73,44,29,0,0.603,4,2,2,0,0.5,current
big_ten,wisconsin,Barry Alvarez,1990,2005,16,195,117,74,4,0.617,11,8,3,0,0.727,retired
big_ten,wisconsin,Bret Bielema,2006,2012,7,92,68,24,0,0.739,6,2,4,0,0.333,changed jobs
big_ten,wisconsin,Gary Andersen,2013,2014,2,26,19,7,0,0.731,1,0,1,0,0,changed jobs
big_ten,wisconsin,Paul Chryst,2015,2016,2,23,18,5,0,0.783,1,1,0,0,1,current
