franchise,team,year,coaches_text,coaches_id
MIL,MIL,2013,"S. Skiles (16-16), J. Boylan (22-28)",skilesc01c|boylaji99c
MIL,MIL,2012,S. Skiles (31-35),skilesc01c
MIL,MIL,2011,S. Skiles (35-47),skilesc01c
MIL,MIL,2010,S. Skiles (46-36),skilesc01c
MIL,MIL,2009,S. Skiles (34-48),skilesc01c
MIL,MIL,2008,L. Krystkowiak (26-56),krystla01c
MIL,MIL,2007,"T. Stotts (23-41), L. Krystkowiak (5-13)",stottte99c|krystla01c
MIL,MIL,2006,T. Stotts (40-42),stottte99c
MIL,MIL,2005,T. Porter (30-52),portete01c
MIL,MIL,2004,T. Porter (41-41),portete01c
MIL,MIL,2003,G. Karl (42-40),karlge01c
MIL,MIL,2002,G. Karl (41-41),karlge01c
MIL,MIL,2001,G. Karl (52-30),karlge01c
MIL,MIL,2000,G. Karl (42-40),karlge01c
MIL,MIL,1999,G. Karl (28-22),karlge01c
MIL,MIL,1998,C. Ford (36-46),fordch01c
MIL,MIL,1997,C. Ford (33-49),fordch01c
MIL,MIL,1996,M. Dunleavy (25-57),dunlemi01c
MIL,MIL,1995,M. Dunleavy (34-48),dunlemi01c
MIL,MIL,1994,M. Dunleavy (20-62),dunlemi01c
MIL,MIL,1993,M. Dunleavy (28-54),dunlemi01c
MIL,MIL,1992,"D. Harris (8-9), F. Hamblen (23-42)",harride99c|hamblfr99c
MIL,MIL,1991,D. Harris (48-34),harride99c
MIL,MIL,1990,D. Harris (44-38),harride99c
MIL,MIL,1989,D. Harris (49-33),harride99c
MIL,MIL,1988,D. Harris (42-40),harride99c
MIL,MIL,1987,D. Nelson (50-32),nelsodo01c
MIL,MIL,1986,D. Nelson (57-25),nelsodo01c
MIL,MIL,1985,D. Nelson (59-23),nelsodo01c
MIL,MIL,1984,D. Nelson (50-32),nelsodo01c
MIL,MIL,1983,D. Nelson (51-31),nelsodo01c
MIL,MIL,1982,D. Nelson (55-27),nelsodo01c
MIL,MIL,1981,D. Nelson (60-22),nelsodo01c
MIL,MIL,1980,D. Nelson (49-33),nelsodo01c
MIL,MIL,1979,D. Nelson (38-44),nelsodo01c
MIL,MIL,1978,D. Nelson (44-38),nelsodo01c
MIL,MIL,1977,"L. Costello (3-15), D. Nelson (27-37)",costela01c|nelsodo01c
MIL,MIL,1976,L. Costello (38-44),costela01c
MIL,MIL,1975,L. Costello (38-44),costela01c
MIL,MIL,1974,L. Costello (59-23),costela01c
MIL,MIL,1973,L. Costello (60-22),costela01c
MIL,MIL,1972,L. Costello (63-19),costela01c
MIL,MIL,1971,L. Costello (66-16),costela01c
MIL,MIL,1970,L. Costello (56-26),costela01c
MIL,MIL,1969,L. Costello (27-55),costela01c
MIN,MIN,2018,T. Thibodeau (17-12),thiboto99c
MIN,MIN,2017,T. Thibodeau (31-51),thiboto99c
MIN,MIN,2016,S. Mitchell (29-53),mitchsa01c
MIN,MIN,2015,F. Saunders (16-66),saundfl99c
MIN,MIN,2014,R. Adelman (40-42),adelmri01c
MIN,MIN,2013,R. Adelman (31-51),adelmri01c
MIN,MIN,2012,R. Adelman (26-40),adelmri01c
MIN,MIN,2011,K. Rambis (17-65),rambiku01c
MIN,MIN,2010,K. Rambis (15-67),rambiku01c
MIN,MIN,2009,"R. Wittman (4-15), K. McHale (20-43)",wittmra01c|mchalke01c
MIN,MIN,2008,R. Wittman (22-60),wittmra01c
MIN,MIN,2007,"D. Casey (20-20), R. Wittman (12-30)",caseydw99c|wittmra01c
MIN,MIN,2006,D. Casey (33-49),caseydw99c
MIN,MIN,2005,"F. Saunders (25-26), K. McHale (19-12)",saundfl99c|mchalke01c
MIN,MIN,2004,F. Saunders (58-24),saundfl99c
MIN,MIN,2003,F. Saunders (51-31),saundfl99c
MIN,MIN,2002,F. Saunders (50-32),saundfl99c
MIN,MIN,2001,F. Saunders (47-35),saundfl99c
MIN,MIN,2000,F. Saunders (50-32),saundfl99c
MIN,MIN,1999,F. Saunders (25-25),saundfl99c
MIN,MIN,1998,F. Saunders (45-37),saundfl99c
MIN,MIN,1997,F. Saunders (40-42),saundfl99c
MIN,MIN,1996,"B. Blair (6-14), F. Saunders (20-42)",blairbi99c|saundfl99c
MIN,MIN,1995,B. Blair (21-61),blairbi99c
MIN,MIN,1994,S. Lowe (20-62),lowesi01c
MIN,MIN,1993,"J. Rodgers (6-23), S. Lowe (13-40)",rodgeji99c|lowesi01c
MIN,MIN,1992,J. Rodgers (15-67),rodgeji99c
MIN,MIN,1991,B. Musselman (29-53),mussebi99c
MIN,MIN,1990,B. Musselman (22-60),mussebi99c
NORLHP,NOP,2018,A. Gentry (15-14),gentral99c
NORLHP,NOP,2017,A. Gentry (34-48),gentral99c
NORLHP,NOP,2016,A. Gentry (30-52),gentral99c
NORLHP,NOP,2015,M. Williams (45-37),willimo01c
NORLHP,NOP,2014,M. Williams (34-48),willimo01c
NORLHP,NOH,2013,M. Williams (27-55),willimo01c
NORLHP,NOH,2012,M. Williams (21-45),willimo01c
NORLHP,NOH,2011,M. Williams (46-36),willimo01c
NORLHP,NOH,2010,"B. Scott (3-6), J. Bower (34-39)",scottby01c|bowerje99c
NORLHP,NOH,2009,B. Scott (49-33),scottby01c
NORLHP,NOH,2008,B. Scott (56-26),scottby01c
NORLHP,NOK,2007,B. Scott (39-43),scottby01c
NORLHP,NOK,2006,B. Scott (38-44),scottby01c
