coach_id|coach_name|fromyear|toyear|iscurrent
heardga01c|Gar Heard|1993|2000|
heinsto01c|Tom Heinsohn|1970|1978|
hickena01c|Nat Hickey|1948|1948|
hillbo99c|Bob Hill|1987|2007|
hillbr99c|Brian Hill|1994|2007|
hoibefr99c|Fred Hoiberg|2016|2018|y
hollili01c|Lionel Hollins|2000|2016|
holzmre01c|Red Holzman|1954|1982|
hopkibo01c|Bob Hopkins|1978|1978|
hornaje01c|Jeff Hornacek|2014|2018|y
hugheki01c|Kim Hughes|2010|2010|
hughere99c|Rex Hughes|1992|1993|
huntme01c|Melvin Hunt|2015|2015|
hunteli01c|Lindsey Hunter|2013|2013|
iavarma01c|Marc Iavaroni|2008|2009|
inmanst99c|Stu Inman|1972|1972|
irvinge01c|George Irvine|1985|2001|
isselda01c|Dan Issel|1993|2002|
jacksma01c|Mark Jackson|2012|2014|
jacksph01c|Phil Jackson|1990|2011|
jacksst99c|Stu Jackson|1990|1997|
jeannbu01c|Buddy Jeannette|1948|1970|
jentch01c|Chris Jent|2005|2005|
joergda99c|Dave Joerger|2014|2018|y
johnsav01c|Avery Johnson|2005|2013|
johnsde01c|Dennis Johnson|2003|2003|
johnsfr01c|Frank Johnson|2002|2004|
johnsma02c|Magic Johnson|1994|1994|
johnsph99c|Phil Johnson|1974|1987|
johnsne01c|Neil Johnston|1960|1961|
joneskc01c|K.C. Jones|1973|1992|
joneswa99c|Wally Jones|1951|1951|
jordaed01c|Eddie Jordan|1997|2010|
juckeed99c|Ed Jucker|1968|1969|
juliaal99c|Alvin Julian|1949|1950|
karlge01c|George Karl|1985|2016|
kauffbo01c|Bob Kauffman|1978|1978|
kerrre01c|Red Kerr|1967|1970|
kerrst01c|Steve Kerr|2015|2018|y
kiddja01c|Jason Kidd|2014|2018|y
kloppbo99c|Bob Kloppenburg|1982|1992|
krugelo99c|Lon Kruger|2001|2003|
krystla01c|Larry Krystkowiak|2007|2008|
kuestjo01c|John Kuester|2010|2011|
kundljo99c|John Kundla|1949|1959|
laniebo01c|Bob Lanier|1995|1995|
lapchjo99c|Joe Lapchick|1948|1956|
laresyo01c|York Larese|1970|1970|
laydefr99c|Frank Layden|1982|1989|
leege01c|George Lee|1969|1970|
leonasl01c|Slick Leonard|1963|1980|
levanan01c|Andrew Levane|1953|1962|
lewisgr01c|Grady Lewis|1949|1950|
littlge01c|Gene Littles|1986|1995|
lloydea01c|Earl Lloyd|1972|1973|
locketa99c|Tates Locke|1977|1977|
loeffke99c|Ken Loeffler|1947|1949|
loganjo01c|John Logan|1951|1951|
loughke01c|Kevin Loughery|1973|1995|
lowesi01c|Sidney Lowe|1993|2003|
loyerjo99c|John Loyer|2014|2014|
lucasjo01c|John Lucas|1993|2003|
luety01c|Tyronn Lue|2016|2018|y
lynamji99c|Jim Lynam|1984|1997|
macaued01c|Ed Macauley|1959|1960|
mackibo99c|Bob MacKinnon|1975|1988|
maclejo99c|John MacLeod|1974|1991|
malonbr99c|Brendan Malone|1996|2005|
malonmi99c|Mike Malone|2014|2018|y
marshto01c|Tom Marshall|1959|1960|
martisl01c|Slater Martin|1957|1969|
mccarba99c|Babe McCarthy|1968|1974|
mccarjo01c|Johnny McCarthy|1972|1972|
mccloja01d|Jack McCloskey|1973|1974|
mcguidi01c|Dick McGuire|1960|1968|
mcguifr99c|Frank McGuire|1962|1962|
mchalke01c|Kevin McHale|2005|2016|
mchonmo99c|Morris McHone|1984|1984|
mckinbo01c|Bones McKinney|1951|1971|
mckinja99c|Jack McKinney|1980|1985|
mclenjo99c|John McLendon|1970|1970|
mcmahja01c|Jack McMahon|1963|1972|
mcmilda99c|Dave McMillan|1951|1951|
mcmilna01c|Nate McMillan|2001|2018|y
mendemu99c|Murray Mendenhall|1950|1951|
meschto01c|Tom Meschery|1972|1972|
mikange01c|George Mikan|1958|1958|
mikkeve01c|Vern Mikkelsen|1969|1969|
mitchsa01c|Sam Mitchell|2005|2016|
moedo01c|Doug Moe|1977|1993|
montgmi99c|Mike Montgomery|2005|2006|
mooredo99c|Doxie Moore|1950|1952|
morriro99c|Robert Morris|1947|1947|
mottadi99c|Dick Motta|1969|1997|
mullajo01c|Joe Mullaney|1970|1977|
mussebi99c|Bill Musselman|1976|1991|
musseer99c|Eric Musselman|2003|2007|
myerspe01c|Pete Myers|2004|2008|
nattke01c|Kenny Natt|2009|2009|
nelsodo01c|Don Nelson|1977|2010|
nissato99c|Tom Nissalke|1972|1984|
obrieji99c|Jim O'Brien|2001|2011|
oneilke99c|Kevin O'Neill|2004|2004|
olsenha99c|Harold Olsen|1947|1949|
pettibo01c|Bob Pettit|1962|1962|
pfundra99c|Randy Pfund|1993|1994|
phillan01c|Andy Phillip|1959|1959|
pitinri99c|Rick Pitino|1988|2001|
pollaji01c|Jim Pollard|1960|1970|
popovgr99c|Gregg Popovich|1997|2018|y
portete01c|Terry Porter|2004|2009|
pottero99c|Roger Potter|1950|1950|
pritcke01c|Kevin Pritchard|2005|2005|
rambiku01c|Kurt Rambis|1999|2016|
ramsaja99c|Jack Ramsay|1969|1989|
ramsefr01c|Frank Ramsey|1971|1971|
reedwi01c|Willis Reed|1978|1989|
reisech01c|Chick Reiser|1952|1953|
reynoje99c|Jerry Reynolds|1987|1990|
rhodege01c|Gene Rhodes|1968|1971|
rileypa01c|Pat Riley|1982|2008|
riverdo01c|Doc Rivers|2000|2018|y
robersc99c|Scotty Robertson|1975|1983|
rochare01c|Red Rocha|1958|1960|
rodgeji99c|Jimmy Rodgers|1989|1993|
rolfero99c|Robert Rolfe|1947|1947|
rothsro99c|Ron Rothstein|1989|1993|
rubinro99c|Roy Rubin|1973|1973|
