date,season,playoff,team,elo,win,franchise
1979-10-19,1980,,LAL,1519.2347,False,LAL
1979-10-19,1980,,MIL,1601.7037,True,MIL
1979-10-19,1980,,NJN,1390.8142,False,NJNBRK
1979-10-19,1980,,POR,1604.1334,True,POR
1979-10-19,1980,,SEA,1598.5054,True,SEAOKC
1979-10-19,1980,,SDC,1505.0135,False,SDC
1979-10-19,1980,,DET,1457.2947,False,DET
1979-10-19,1980,,NYK,1430.3867,True,NYK
1979-10-19,1980,,PHO,1605.7219,False,PHO
1979-10-19,1980,,WSB,1506.4763,False,WSB
1979-10-19,1980,,PHI,1584.6448,True,PHI
1979-10-20,1980,,IND,1494.6318,True,IND
1979-10-20,1980,,CHI,1460.2848,True,CHI
1979-10-20,1980,,NYK,1414.8588,False,NYK
1979-10-20,1980,,WSB,1512.3314,True,WSB
1979-10-20,1980,,GSW,1513.478,True,GSW
1979-10-20,1980,,PHO,1591.421,False,PHO
1979-10-20,1980,,HOU,1519.8511,True,HOU
1979-10-20,1980,,UTA,1360.8365,False,UTA
1979-10-20,1980,,ATL,1548.1206,False,ATL
1979-10-20,1980,,BOS,1462.634,False,BOS
1979-10-20,1980,,PHI,1600.1727,True,PHI
1979-10-20,1980,,CLE,1401.6427,False,CLE
1979-10-20,1980,,SAS,1532.7957,True,SAS
1979-10-20,1980,,DET,1451.4396,False,DET
1979-10-21,1980,,PHO,1569.6912,False,PHO
1979-10-21,1980,,SEA,1589.501,False,SEAOKC
1979-10-21,1980,,GSW,1507.1182,False,GSW
1979-10-21,1980,,CHI,1458.6693,False,CHI
1979-10-21,1980,,POR,1610.4933,True,POR
1979-10-21,1980,,MIL,1603.3192,True,MIL
1979-10-21,1980,,LAL,1528.2391,True,LAL
1979-10-21,1980,,KCK,1554.8702,True,KCK
1979-10-22,1980,,UTA,1365.5564,True,UTA
1979-10-22,1980,,SDC,1500.2937,False,SDC
1979-10-23,1980,,ATL,1556.7955,True,ATL
1979-10-23,1980,,SDC,1504.3792,True,SDC
1979-10-23,1980,,DEN,1465.7208,False,DEN
1979-10-23,1980,,BOS,1457.9564,False,BOS
1979-10-23,1980,,KCK,1552.3788,False,KCK
1979-10-23,1980,,MIL,1613.0269,True,MIL
1979-10-23,1980,,IND,1477.3719,False,IND
1979-10-23,1980,,UTA,1361.5374,False,UTA
1979-10-23,1980,,NJN,1387.394,False,NJNBRK
1979-10-23,1980,,SAS,1537.4733,True,SAS
1979-10-23,1980,,PHO,1559.9835,False,PHO
1979-10-23,1980,,CHI,1462.0895,True,CHI
1979-10-23,1980,,CLE,1392.9678,False,CLE
1979-10-23,1980,,LAL,1532.2582,True,LAL
1979-10-23,1980,,NYK,1432.1187,True,NYK
1979-10-23,1980,,POR,1612.9847,True,POR
1979-10-24,1980,,CLE,1389.8889,False,CLE
1979-10-24,1980,,ATL,1559.8744,True,ATL
1979-10-24,1980,,DEN,1462.3528,False,DEN
1979-10-24,1980,,POR,1616.3528,True,POR
1979-10-24,1980,,WSB,1508.8514,False,WSB
1979-10-24,1980,,SEA,1596.3977,True,SEAOKC
1979-10-24,1980,,PHI,1606.626,True,PHI
1979-10-24,1980,,HOU,1513.1882,False,HOU
1979-10-24,1980,,GSW,1501.4199,False,GSW
1979-10-24,1980,,DET,1454.9196,True,DET
1979-10-24,1980,,PHO,1565.6818,True,PHO
1979-10-24,1980,,BOS,1464.6193,True,BOS
1979-10-24,1980,,KCK,1545.4821,False,KCK
1979-10-24,1980,,IND,1470.9187,False,IND
1979-10-25,1980,,CHI,1452.9917,False,CHI
1979-10-25,1980,,SDC,1498.9651,False,SDC
1979-10-25,1980,,UTA,1370.6351,True,UTA
1979-10-25,1980,,MIL,1618.4409,True,MIL
1979-10-26,1980,,PHI,1609.7096,True,PHI
1979-10-26,1980,,DET,1439.9467,False,DET
1979-10-26,1980,,IND,1479.0577,True,IND
1979-10-26,1980,,POR,1617.7899,True,POR
1979-10-26,1980,,NJN,1382.6455,False,NJNBRK
1979-10-26,1980,,LAL,1540.4766,True,LAL
1979-10-26,1980,,SAS,1552.4462,True,SAS
1979-10-26,1980,,WSB,1500.7124,False,WSB
1979-10-26,1980,,KCK,1537.2637,False,KCK
1979-10-26,1980,,ATL,1564.6229,True,ATL
1979-10-26,1980,,NYK,1429.035,False,NYK
1979-10-26,1980,,CHI,1451.5546,False,CHI
1979-10-26,1980,,PHO,1577.4215,True,PHO
1979-10-26,1980,,SEA,1584.658,False,SEAOKC
1979-10-27,1980,,DEN,1469.4272,True,DEN
1979-10-27,1980,,GSW,1507.4321,True,GSW
1979-10-27,1980,,MIL,1621.9655,True,MIL
1979-10-27,1980,,NYK,1431.6387,True,NYK
1979-10-27,1980,,UTA,1363.5607,False,UTA
1979-10-27,1980,,IND,1475.0784,False,IND
1979-10-27,1980,,KCK,1531.2515,False,KCK
1979-10-27,1980,,NJN,1380.0419,False,NJNBRK
1979-10-27,1980,,DET,1436.4221,False,DET
1979-10-27,1980,,SAS,1556.4255,True,SAS
1979-10-27,1980,,BOS,1477.3495,True,BOS
1979-10-27,1980,,PHI,1614.4244,True,PHI
1979-10-27,1980,,SEA,1577.9866,False,SEAOKC
1979-10-27,1980,,SDC,1505.6365,True,SDC
1979-10-27,1980,,CLE,1385.1741,False,CLE
1979-10-27,1980,,ATL,1551.8927,False,ATL
1979-10-28,1980,,PHO,1583.7203,True,PHO
1979-10-28,1980,,KCK,1540.3121,True,KCK
1979-10-28,1980,,CHI,1447.5723,False,CHI
1979-10-28,1980,,GSW,1502.6058,False,GSW
1979-10-28,1980,,LAL,1545.3029,True,LAL
1979-10-28,1980,,NJN,1387.9585,True,NJNBRK
1979-10-28,1980,,POR,1611.4911,False,POR
1979-10-28,1980,,SDC,1496.5758,False,SDC
1979-10-28,1980,,SEA,1581.9689,True,SEAOKC
1979-10-28,1980,,HOU,1505.2716,False,HOU
1979-10-30,1980,,LAL,1553.1002,True,LAL
1979-10-30,1980,,PHO,1597.5314,True,PHO
1979-10-30,1980,,DEN,1474.8892,True,DEN
1979-10-30,1980,,CLE,1397.6837,True,CLE
1979-10-30,1980,,CHI,1439.7749,False,CHI
1979-10-30,1980,,HOU,1492.762,False,HOU
1979-10-30,1980,,NYK,1426.1768,False,NYK
1979-10-30,1980,,SAS,1542.6145,False,SAS
1979-10-31,1980,,ATL,1557.9913,True,ATL
1979-10-31,1980,,POR,1604.2222,False,POR
1979-10-31,1980,,HOU,1488.2085,False,HOU
1979-10-31,1980,,LAL,1550.0417,False,LAL
1979-10-31,1980,,CLE,1393.7131,False,CLE
1979-10-31,1980,,DEN,1471.2611,False,DEN
1979-10-31,1980,,SAS,1552.7615,True,SAS
1979-10-31,1980,,BOS,1503.8557,True,BOS
1979-10-31,1980,,PHI,1608.3258,False,PHI
1979-10-31,1980,,GSW,1509.8748,True,GSW
1979-10-31,1980,,UTA,1359.5085,False,UTA
1979-10-31,1980,,KCK,1544.3643,True,KCK
1979-10-31,1980,,MIL,1625.0239,True,MIL
1979-10-31,1980,,NJN,1361.4523,False,NJNBRK
1979-10-31,1980,,SDC,1486.4288,False,SDC
1979-10-31,1980,,SEA,1585.5969,True,SEAOKC
1979-10-31,1980,,WSB,1504.683,True,WSB
1979-10-31,1980,,IND,1479.6318,True,IND
1979-11-01,1980,,UTA,1343.6833,False,UTA
1979-11-01,1980,,DET,1428.8451,False,DET
1979-11-01,1980,,CLE,1401.2902,True,CLE
1979-11-01,1980,,NYK,1442.002,True,NYK
1979-11-02,1980,,PHI,1598.2068,False,PHI
1979-11-02,1980,,IND,1460.9343,False,IND
1979-11-02,1980,,ATL,1568.1104,True,ATL
1979-11-02,1980,,CHI,1432.3427,False,CHI
1979-11-02,1980,,NYK,1449.3538,True,NYK
1979-11-02,1980,,PHO,1593.5898,False,PHO
1979-11-02,1980,,DEN,1478.6934,True,DEN
1979-11-02,1980,,LAL,1553.9833,True,LAL
1979-11-02,1980,,KCK,1537.0125,False,KCK
1979-11-02,1980,,POR,1620.0769,True,POR
1979-11-02,1980,,SDC,1470.5741,False,SDC
