tenure.slug,coach.id,name,tenure.ending,end.event,black,interim.promoted,first.hc.job,total.games,win.pct,starting.elo,tenure.progress,last.year.progress,recent.progress,peak,middle,bottom
vaughja01c_NJN_2020_2020,vaughja01c,Jacque Vaughn,active,0,1,0,0,2,1,1464.46411186112,2.0475785320600153,-39.99024166626987,NA,1466.51169039318,1464.46411186112,1464.46411186112
vaughja01c_ORL_2013_2015,vaughja01c,Jacque Vaughn,fired,1,1,0,1,216,0.26851851851851855,1478.0159,-173.048,-14.623399999999947,-39.71179999999981,1502.9133,1349.1930875000005,1249.7712
vincesa01c_CHA_2008_2008,vincesa01c,Sam Vincent,fired,1,1,0,1,82,0.3902439024390244,1466.2852,-25.33719999999994,-19.32479999999987,9.684600000000046,1475.364,1418.5652560975605,1361.703
vogelfr99c_IND_2011_2016,vogelfr99c,Frank Vogel,fired,1,0,0,1,431,0.580046403712297,1451.2024,61.166521254380086,1.9381212543798938,-14.185425029709904,1697.2277,1545.608969570136,1421.538
vogelfr99c_LAL_2020_2020,vogelfr99c,Frank Vogel,active,0,0,0,0,63,0.7777777777777778,1472.91031573486,216.09499870009995,222.93530129545002,44.739690448659985,1689.00531443496,1609.2419724067372,1467.24689066577
vogelfr99c_ORL_2017_2018,vogelfr99c,Frank Vogel,fired,1,0,0,0,164,0.32926829268292684,1454.07909965664,-131.1054674561101,-22.644769702970052,-30.141270597990115,1495.19120890806,1393.736470533786,1317.86404864011
waltolu01c_LAL_2017_2019,waltolu01c,Luke Walton,mutual consent,1,0,0,1,246,0.3983739837398374,1332.6781345242,133.3918786153099,2.0847632993798015,48.313188536749976,1570.41546299381,1429.8364596040158,1308.34291055865
waltolu01c_SAC_2020_2020,waltolu01c,Luke Walton,active,0,0,0,0,64,0.4375,1468.11475592575,46.58136922258018,57.20630898913009,36.893453395770166,1516.88404375715,1455.394338790295,1411.52302874946
watsoea01c_PHO_2016_2018,watsoea01c,Earl Watson,fired,1,1,0,1,118,0.2796610169491525,1339.3263165938,10.30879215108007,-1.207203333570078,24.89502331001995,1408.91506340669,1348.880767283382,1288.94679410036
weissbo01c_OKC_2006_2006,weissbo01c,Bob Weiss,fired,1,0,0,0,30,0.43333333333333335,1545.6592,-69.28050000000007,-63.29819999999995,-1.2801999999999225,1545.6592,1495.3232266666666,1462.9408
westppa01c_OKC_1999_2001,westppa01c,Paul Westphal,fired,1,0,0,0,147,0.5170068027210885,1575.7074,-79.88310000000001,-27.829500000000053,4.240299999999934,1604.0139,1518.467684353741,1459.1576
westppa01c_SAC_2010_2012,westppa01c,Paul Westphal,fired,1,0,0,0,171,0.2982456140350877,1340.2896,84.21849999999995,-1.8309999999999036,-2.2933000000000447,1453.4791,1351.313116374269,1272.2406
wilkele01c_ATL_1994_2000,wilkele01c,Lenny Wilkens,mutual consent,1,1,0,0,542,0.5719557195571956,1517.0958,-193.93319999999994,-273.3499999999999,-36.0317,1657.5612,1552.2743690036898,1312.2146
wilkele01c_NYK_2004_2005,wilkele01c,Lenny Wilkens,resigned,0,1,0,0,81,0.49382716049382713,1441.8997,-22.34759999999983,-67.0915,-42.66079999999988,1505.0979,1456.911593827161,1416.8419
wilkele01c_TOR_2001_2003,wilkele01c,Lenny Wilkens,fired,1,1,0,0,246,0.45934959349593496,1487.4464,-136.32349999999997,-143.92449999999985,-4.462199999999939,1590.6519,1481.1388764227638,1328.8806
willimo01c_NOH_2011_2015,willimo01c,Monty Williams,fired,1,1,0,1,394,0.43908629441624364,1447.1117,82.47739999999999,98.56089999999995,33.16769999999997,1615.903,1464.942903045687,1363.3163
willimo01c_PHO_2020_2020,willimo01c,Monty Williams,active,0,1,0,0,65,0.4,1338.13501857836,124.69068320288011,177.0297400034001,13.033617690939991,1491.38180672712,1412.6010992293184,1338.13501857836
wittmra01c_CLE_2000_2001,wittmra01c,Randy Wittman,fired,1,0,0,1,164,0.3780487804878049,1468.3152,-87.2319,-21.367099999999937,34.468399999999974,1499.5048,1425.8355603658542,1331.0291
wittmra01c_MIN_2007_2009,wittmra01c,Randy Wittman,fired,1,0,0,0,143,0.26573426573426573,1463.3104,-77.99670000000015,34.75849999999991,22.217799999999897,1491.7966,1369.5231657342656,1280.554
wittmra01c_WAS_2012_2016,wittmra01c,Randy Wittman,fired,1,0,0,0,377,0.47214854111405835,1306.8265,212.21441033633005,7.568610336330039,2.3273376356598874,1585.0723,1463.6365586100903,1285.6865
woodsmi01c_ATL_2005_2010,woodsmi01c,Mike Woodson,fired,1,1,0,1,493,0.4178498985801217,1429.6437,181.74360000000001,63.72260000000006,7.384900000000016,1611.3873,1423.3453247464506,1201.6516
woodsmi01c_NYK_2012_2014,woodsmi01c,Mike Woodson,fired,1,1,0,0,188,0.5797872340425532,1466.1488,73.47680000000014,-81.57449999999994,84.01620000000003,1644.5215,1531.004792021276,1406.4829
