coach.id,name,tenure.id,franchise.id,start.year,end.year,coach.wins,coach.losses,coach.games,tenure.slug,tenure.ending,interim.promoted
karlge01c,George Karl,161,DEN,2005,2013,423,257,680,karlge01c_DEN_2005_2013,fired,
shawbr01c,Brian Shaw,162,DEN,2014,2015,56,85,141,shawbr01c_DEN_2014_2015,fired,
huntme01c,Melvin Hunt,163,DEN,2015,2015,10,13,23,huntme01c_DEN_2015_2015,interim only,
malonmi99c,Mike Malone,164,DEN,2016,2020,216,177,393,malonmi99c_DEN_2016_2020,,
gentral99c,Alvin Gentry,189,DET,1998,2000,73,72,145,gentral99c_DET_1998_2000,fired,
irvinge01c,George Irvine,190,DET,2000,2001,46,60,106,irvinge01c_DET_2000_2001,fired,
carliri01c,Rick Carlisle,191,DET,2002,2003,100,64,164,carliri01c_DET_2002_2003,fired,
brownla01c,Larry Brown,192,DET,2004,2005,108,56,164,brownla01c_DET_2004_2005,fired,
saundfl99c,Flip Saunders,193,DET,2006,2008,176,70,246,saundfl99c_DET_2006_2008,fired,
currymi01c,Michael Curry,194,DET,2009,2009,39,43,82,currymi01c_DET_2009_2009,fired,
kuestjo01c,John Kuester,195,DET,2010,2011,57,107,164,kuestjo01c_DET_2010_2011,fired,
frankla99c,Lawrence Frank,196,DET,2012,2013,54,94,148,frankla99c_DET_2012_2013,fired,
cheekma01c,Maurice Cheeks,197,DET,2014,2014,21,29,50,cheekma01c_DET_2014_2014,fired,
loyerjo99c,John Loyer,198,DET,2014,2014,8,24,32,loyerjo99c_DET_2014_2014,interim only,
vangust99c,Stan Van Gundy,199,DET,2015,2018,152,176,328,vangust99c_DET_2015_2018,fired,
caseydw99c,Dwane Casey,200,DET,2019,2020,61,87,148,caseydw99c_DET_2019_2020,,
carlepj99c,P.J. Carlesimo,219,GSW,1998,2000,46,113,159,carlepj99c_GSW_1998_2000,fired,
stjeaga99c,Garry St. Jean,220,GSW,2000,2000,13,42,55,stjeaga99c_GSW_2000_2000,interim only,
cowenda01c,Dave Cowens,221,GSW,2001,2002,25,80,105,cowenda01c_GSW_2001_2002,fired,
wintebr01c,Brian Winters,222,GSW,2002,2002,13,46,59,wintebr01c_GSW_2002_2002,interim only,
musseer99c,Eric Musselman,223,GSW,2003,2004,75,89,164,musseer99c_GSW_2003_2004,fired,
montgmi99c,Mike Montgomery,224,GSW,2005,2006,68,96,164,montgmi99c_GSW_2005_2006,fired,
nelsodo01c,Don Nelson,225,GSW,2007,2010,145,183,328,nelsodo01c_GSW_2007_2010,fired,
smartke01c,Keith Smart,226,GSW,2011,2011,36,46,82,smartke01c_GSW_2011_2011,interim only,
jacksma01c,Mark Jackson,227,GSW,2012,2014,121,109,230,jacksma01c_GSW_2012_2014,fired,
kerrst01c,Steve Kerr,228,GSW,2015,2020,337,138,475,kerrst01c_GSW_2015_2020,,
tomjaru01c,Rudy Tomjanovich,237,HOU,1992,2003,503,397,900,tomjaru01c_HOU_1992_2003,resigned,
vanguje99c,Jeff Van Gundy,238,HOU,2004,2007,182,146,328,vanguje99c_HOU_2004_2007,fired,
adelmri01c,Rick Adelman,239,HOU,2008,2011,193,135,328,adelmri01c_HOU_2008_2011,fired,
mchalke01c,Kevin McHale,240,HOU,2012,2016,193,130,323,mchalke01c_HOU_2012_2016,fired,
bickejb01c,J.B. Bickerstaff,241,HOU,2016,2016,37,34,71,bickejb01c_HOU_2016_2016,interim only,
dantomi01c,Mike D'Antoni,242,HOU,2017,2020,213,97,310,dantomi01c_HOU_2017_2020,,
birdla01c,Larry Bird,253,IND,1998,2000,147,67,214,birdla01c_IND_1998_2000,resigned,
thomais01c,Isiah Thomas,254,IND,2001,2003,131,115,246,thomais01c_IND_2001_2003,fired,
carliri01c,Rick Carlisle,255,IND,2004,2007,181,147,328,carliri01c_IND_2004_2007,fired,
obrieji99c,Jim O'Brien,256,IND,2008,2011,121,169,290,obrieji99c_IND_2008_2011,fired,
vogelfr99c,Frank Vogel,257,IND,2011,2016,250,181,431,vogelfr99c_IND_2011_2016,fired,
mcmilna01c,Nate McMillan,258,IND,2017,2020,177,134,311,mcmilna01c_IND_2017_2020,,
fordch01c,Chris Ford,277,LAC,1999,2000,20,75,95,fordch01c_LAC_1999_2000,fired,
toddji99c,Jim Todd,278,LAC,2000,2000,4,33,37,toddji99c_LAC_2000_2000,interim only,
gentral99c,Alvin Gentry,279,LAC,2001,2003,89,133,222,gentral99c_LAC_2001_2003,fired,
johnsde01c,Dennis Johnson,280,LAC,2003,2003,8,16,24,johnsde01c_LAC_2003_2003,interim only,
dunlemi01c,Mike Dunleavy,281,LAC,2004,2010,215,326,541,dunlemi01c_LAC_2004_2010,resigned,
hugheki01c,Kim Hughes,282,LAC,2010,2010,8,25,33,hugheki01c_LAC_2010_2010,interim only,
delnevi01c,Vinny Del Negro,283,LAC,2011,2013,128,102,230,delnevi01c_LAC_2011_2013,fired,
riverdo01c,Doc Rivers,284,LAC,2014,2020,351,205,556,riverdo01c_LAC_2014_2020,,
jacksph01c,Phil Jackson,305,LAL,2000,2004,287,123,410,jacksph01c_LAL_2000_2004,fired,
tomjaru01c,Rudy Tomjanovich,306,LAL,2005,2005,24,19,43,tomjaru01c_LAL_2005_2005,resigned,
hamblfr99c,Frank Hamblen,307,LAL,2005,2005,10,29,39,hamblfr99c_LAL_2005_2005,interim only,
jacksph01c,Phil Jackson,308,LAL,2006,2011,323,169,492,jacksph01c_LAL_2006_2011,resigned,
brownmi99c,Mike Brown,309,LAL,2012,2013,42,29,71,brownmi99c_LAL_2012_2013,fired,
bickebe99c,Bernie Bickerstaff,310,LAL,2013,2013,4,1,5,bickebe99c_LAL_2013_2013,interim only,
dantomi01c,Mike D'Antoni,311,LAL,2013,2014,67,87,154,dantomi01c_LAL_2013_2014,mutual consent,
scottby01c,Byron Scott,312,LAL,2015,2016,38,126,164,scottby01c_LAL_2015_2016,fired,
waltolu01c,Luke Walton,313,LAL,2017,2019,98,148,246,waltolu01c_LAL_2017_2019,mutual consent,
vogelfr99c,Frank Vogel,314,LAL,2020,2020,49,14,63,vogelfr99c_LAL_2020_2020,,
hillbr99c,Brian Hill,317,MEM,1998,2000,31,123,154,hillbr99c_MEM_1998_2000,fired,
hollili01c,Lionel Hollins,318,MEM,2000,2000,18,42,60,hollili01c_MEM_2000_2000,interim only,
lowesi01c,Sidney Lowe,319,MEM,2001,2003,46,126,172,lowesi01c_MEM_2001_2003,resigned,
brownhu99c,Hubie Brown,320,MEM,2003,2005,83,85,168,brownhu99c_MEM_2003_2005,retired,
hollili01c,Lionel Hollins,321,MEM,2005,2005,0,4,4,hollili01c_MEM_2005_2005,interim only,
fratemi99c,Mike Fratello,322,MEM,2005,2007,95,83,178,fratemi99c_MEM_2005_2007,fired,
baronto99c,Tony Barone,323,MEM,2007,2007,16,36,52,baronto99c_MEM_2007_2007,interim only,
iavarma01c,Marc Iavaroni,324,MEM,2008,2009,33,90,123,iavarma01c_MEM_2008_2009,fired,
davisjo01c,Johnny Davis,325,MEM,2009,2009,0,2,2,davisjo01c_MEM_2009_2009,interim only,
hollili01c,Lionel Hollins,326,MEM,2009,2013,196,155,351,hollili01c_MEM_2009_2013,fired,
joergda99c,Dave Joerger,327,MEM,2014,2016,147,99,246,joergda99c_MEM_2014_2016,fired,
fizdada01c,David Fizdale,328,MEM,2017,2018,50,51,101,fizdada01c_MEM_2017_2018,fired,
bickejb01c,J.B. Bickerstaff,329,MEM,2018,2019,48,97,145,bickejb01c_MEM_2018_2019,fired,x
jenkita01c,Taylor Jenkins,330,MEM,2020,2020,32,33,65,jenkita01c_MEM_2020_2020,,
rileypa01c,Pat Riley,334,MIA,1996,2003,354,270,624,rileypa01c_MIA_1996_2003,resigned,
vangust99c,Stan Van Gundy,335,MIA,2004,2006,112,73,185,vangust99c_MIA_2004_2006,resigned,
rileypa01c,Pat Riley,336,MIA,2006,2008,100,125,225,rileypa01c_MIA_2006_2008,resigned,
spoeler99c,Erik Spoelstra,337,MIA,2009,2020,564,387,951,spoeler99c_MIA_2009_2020,,
karlge01c,George Karl,344,MIL,1999,2003,205,173,378,karlge01c_MIL_1999_2003,fired,
portete01c,Terry Porter,345,MIL,2004,2005,71,93,164,portete01c_MIL_2004_2005,fired,
stottte99c,Terry Stotts,346,MIL,2006,2007,63,83,146,stottte99c_MIL_2006_2007,fired,
krystla01c,Larry Krystkowiak,347,MIL,2007,2008,31,69,100,krystla01c_MIL_2007_2008,fired,
skilesc01c,Scott Skiles,348,MIL,2009,2013,162,182,344,skilesc01c_MIL_2009_2013,mutual consent,
boylaji99c,Jim Boylan,349,MIL,2013,2013,22,28,50,boylaji99c_MIL_2013_2013,interim only,
drewla01c,Larry Drew,350,MIL,2014,2014,15,67,82,drewla01c_MIL_2014_2014,fired,
kiddja01c,Jason Kidd,351,MIL,2015,2018,139,152,291,kiddja01c_MIL_2015_2018,fired,
pruntjo01c,Joe Prunty,352,MIL,2018,2018,21,16,37,pruntjo01c_MIL_2018_2018,interim only,
budenmi99c,Mike Budenholzer,353,MIL,2019,2020,113,34,147,budenmi99c_MIL_2019_2020,,
saundfl99c,Flip Saunders,358,MIN,1996,2005,411,326,737,saundfl99c_MIN_1996_2005,fired,
mchalke01c,Kevin McHale,359,MIN,2005,2005,19,12,31,mchalke01c_MIN_2005_2005,resigned,
caseydw99c,Dwane Casey,360,MIN,2006,2007,53,69,122,caseydw99c_MIN_2006_2007,fired,
wittmra01c,Randy Wittman,361,MIN,2007,2009,38,105,143,wittmra01c_MIN_2007_2009,fired,
mchalke01c,Kevin McHale,362,MIN,2009,2009,20,43,63,mchalke01c_MIN_2009_2009,fired,
rambiku01c,Kurt Rambis,363,MIN,2010,2011,32,132,164,rambiku01c_MIN_2010_2011,fired,
adelmri01c,Rick Adelman,364,MIN,2012,2014,97,133,230,adelmri01c_MIN_2012_2014,retired,
saundfl99c,Flip Saunders,365,MIN,2015,2015,16,66,82,saundfl99c_MIN_2015_2015,died,
mitchsa01c,Sam Mitchell,366,MIN,2016,2016,29,53,82,mitchsa01c_MIN_2016_2016,interim only,
thiboto99c,Tom Thibodeau,367,MIN,2017,2019,97,107,204,thiboto99c_MIN_2017_2019,fired,
saundry01c,Ryan Saunders,368,MIN,2019,2020,36,70,106,saundry01c_MIN_2019_2020,,x
caseybo99c,Don Casey,64,NJN,1999,2000,44,68,112,caseybo99c_NJN_1999_2000,fired,
scottby01c,Byron Scott,65,NJN,2001,2004,149,139,288,scottby01c_NJN_2001_2004,fired,
frankla99c,Lawrence Frank,66,NJN,2004,2010,225,241,466,frankla99c_NJN_2004_2010,fired,x
barrito99c,Tom Barrise,67,NJN,2010,2010,0,2,2,barrito99c_NJN_2010_2010,interim only,
vandeki01c,Kiki Vandeweghe,68,NJN,2010,2010,12,52,64,vandeki01c_NJN_2010_2010,interim only,
johnsav01c,Avery Johnson,69,NJN,2011,2013,60,116,176,johnsav01c_NJN_2011_2013,fired,
carlepj99c,P.J. Carlesimo,70,NJN,2013,2013,35,19,54,carlepj99c_NJN_2013_2013,interim only,
kiddja01c,Jason Kidd,71,NJN,2014,2014,44,38,82,kiddja01c_NJN_2014_2014,traded,
hollili01c,Lionel Hollins,72,NJN,2015,2016,48,71,119,hollili01c_NJN_2015_2016,fired,
