coach.id,name,franchises,poc,former.nba.player
sloanje01c,Jerry Sloan,UTA,no,yes
smartke01c,Keith Smart,"CLE, GSW, SAC",yes,yes
snydequ01c,Quin Snyder,UTA,no,no
spoeler99c,Erik Spoelstra,MIA,yes,no
stevebr99c,Brad Stevens,BOS,no,no
stjeaga99c,Garry St. Jean,GSW,,
stottte99c,Terry Stotts,"ATL, MIL, POR",no,no
tapsced99c,Ed Tapscott,WAS,yes,no
theusre01c,Reggie Theus,SAC,yes,yes
thiboto99c,Tom Thibodeau,"CHI, MIN",no,no
thomais01c,Isiah Thomas,"IND, NYK",yes,yes
toddji99c,Jim Todd,LAC,,
tomjaru01c,Rudy Tomjanovich,"HOU, LAL",no,yes
trianja99c,Jay Triano,"PHO, TOR",no,no
vandeki01c,Kiki Vandeweghe,NJN,no,yes
vanguje99c,Jeff Van Gundy,"HOU, NYK",no,no
vangust99c,Stan Van Gundy,"DET, MIA, ORL",no,no
vaughja01c,Jacque Vaughn,"NJN, ORL",yes,yes
vincesa01c,Sam Vincent,CHA,yes,yes
vogelfr99c,Frank Vogel,"IND, LAL, ORL",no,no
walkeda01c,Darrell Walker,WAS,,
waltolu01c,Luke Walton,"LAL, SAC",no,yes
watsoea01c,Earl Watson,PHO,yes,yes
weissbo01c,Bob Weiss,OKC,no,yes
westppa01c,Paul Westphal,"OKC, SAC",no,yes
wilkele01c,Lenny Wilkens,"ATL, NYK, TOR",yes,yes
willihe01c,Herb Williams,"NYK, NYK",yes,yes
willimo01c,Monty Williams,"NOH, PHO",yes,yes
wintebr01c,Brian Winters,GSW,no,yes
wittmra01c,Randy Wittman,"CLE, MIN, WAS",no,yes
woodsmi01c,Mike Woodson,"ATL, NYK",yes,yes
