franchise.id,season,game.number,win.loss
ATL,2017,59,W
ATL,2017,60,W
ATL,2017,61,L
ATL,2017,62,L
ATL,2017,63,L
ATL,2017,64,W
ATL,2017,65,W
ATL,2017,66,W
ATL,2017,67,L
ATL,2017,68,L
ATL,2017,69,L
ATL,2017,70,L
ATL,2017,71,L
ATL,2017,72,L
ATL,2017,73,L
ATL,2017,74,W
ATL,2017,75,W
ATL,2017,76,L
ATL,2017,77,L
ATL,2017,78,W
ATL,2017,79,W
ATL,2017,80,W
ATL,2017,81,W
ATL,2017,82,L
ATL,2016,1,L
ATL,2016,2,W
ATL,2016,3,W
ATL,2016,4,W
ATL,2016,5,W
ATL,2016,6,W
ATL,2016,7,W
ATL,2016,8,W
ATL,2016,9,L
ATL,2016,10,W
ATL,2016,11,L
ATL,2016,12,L
ATL,2016,13,L
ATL,2016,14,W
ATL,2016,15,L
ATL,2016,16,W
ATL,2016,17,L
ATL,2016,18,W
ATL,2016,19,L
ATL,2016,20,W
ATL,2016,21,L
ATL,2016,22,W
ATL,2016,23,W
ATL,2016,24,L
ATL,2016,25,L
ATL,2016,26,L
ATL,2016,27,W
ATL,2016,28,W
ATL,2016,29,W
ATL,2016,30,W
ATL,2016,31,W
ATL,2016,32,W
ATL,2016,33,L
ATL,2016,34,W
ATL,2016,35,L
ATL,2016,36,L
ATL,2016,37,W
ATL,2016,38,W
ATL,2016,39,L
ATL,2016,40,L
ATL,2016,41,W
ATL,2016,42,W
ATL,2016,43,W
ATL,2016,44,L
ATL,2016,45,L
ATL,2016,46,W
ATL,2016,47,L
ATL,2016,48,L
ATL,2016,49,L
ATL,2016,50,W
ATL,2016,51,W
ATL,2016,52,W
ATL,2016,53,L
ATL,2016,54,L
ATL,2016,55,W
ATL,2016,56,L
ATL,2016,57,L
ATL,2016,58,L
ATL,2016,59,W
ATL,2016,60,W
ATL,2016,61,L
ATL,2016,62,W
ATL,2016,63,W
ATL,2016,64,W
ATL,2016,65,L
ATL,2016,66,W
ATL,2016,67,W
ATL,2016,68,W
ATL,2016,69,W
ATL,2016,70,W
ATL,2016,71,L
ATL,2016,72,W
ATL,2016,73,W
ATL,2016,74,W
ATL,2016,75,W
ATL,2016,76,L
ATL,2016,77,L
ATL,2016,78,W
ATL,2016,79,W
ATL,2016,80,W
ATL,2016,81,L
ATL,2016,82,L
ATL,2015,1,L
ATL,2015,2,W
ATL,2015,3,L
ATL,2015,4,L
