franchise,team,year,coaches_text,name,wins,losses,total_games,order
MIN,MIN,2013,R. Adelman (31-51),R. Adelman,31,51,82,1
MIN,MIN,2012,R. Adelman (26-40),R. Adelman,26,40,66,1
MIN,MIN,2011,K. Rambis (17-65),K. Rambis,17,65,82,1
MIN,MIN,2010,K. Rambis (15-67),K. Rambis,15,67,82,1
MIN,MIN,2009,"R. Wittman (4-15), K. McHale (20-43)",K. McHale,20,43,63,2
MIN,MIN,2009,"R. Wittman (4-15), K. McHale (20-43)",R. Wittman,4,15,19,1
MIN,MIN,2008,R. Wittman (22-60),R. Wittman,22,60,82,1
MIN,MIN,2007,"D. Casey (20-20), R. Wittman (12-30)",R. Wittman,12,30,42,2
MIN,MIN,2007,"D. Casey (20-20), R. Wittman (12-30)",D. Casey,20,20,40,1
MIN,MIN,2006,D. Casey (33-49),D. Casey,33,49,82,1
MIN,MIN,2005,"F. Saunders (25-26), K. McHale (19-12)",K. McHale,19,12,31,2
MIN,MIN,2005,"F. Saunders (25-26), K. McHale (19-12)",F. Saunders,25,26,51,1
MIN,MIN,2004,F. Saunders (58-24),F. Saunders,58,24,82,1
MIN,MIN,2003,F. Saunders (51-31),F. Saunders,51,31,82,1
MIN,MIN,2002,F. Saunders (50-32),F. Saunders,50,32,82,1
MIN,MIN,2001,F. Saunders (47-35),F. Saunders,47,35,82,1
NORLHP,NOP,2017,A. Gentry (34-48),A. Gentry,34,48,82,1
NORLHP,NOP,2016,A. Gentry (30-52),A. Gentry,30,52,82,1
NORLHP,NOP,2015,M. Williams (45-37),M. Williams,45,37,82,1
NORLHP,NOP,2014,M. Williams (34-48),M. Williams,34,48,82,1
NORLHP,NOH,2013,M. Williams (27-55),M. Williams,27,55,82,1
NORLHP,NOH,2012,M. Williams (21-45),M. Williams,21,45,66,1
NORLHP,NOH,2011,M. Williams (46-36),M. Williams,46,36,82,1
NORLHP,NOH,2010,"B. Scott (3-6), J. Bower (34-39)",J. Bower,34,39,73,2
NORLHP,NOH,2010,"B. Scott (3-6), J. Bower (34-39)",B. Scott,3,6,9,1
NORLHP,NOH,2009,B. Scott (49-33),B. Scott,49,33,82,1
NORLHP,NOH,2008,B. Scott (56-26),B. Scott,56,26,82,1
NORLHP,NOK,2007,B. Scott (39-43),B. Scott,39,43,82,1
NORLHP,NOK,2006,B. Scott (38-44),B. Scott,38,44,82,1
NORLHP,NOH,2005,B. Scott (18-64),B. Scott,18,64,82,1
NORLHP,NOH,2004,T. Floyd (41-41),T. Floyd,41,41,82,1
NORLHP,NOH,2003,P. Silas (47-35),P. Silas,47,35,82,1
NYK,NYK,2017,J. Hornacek (31-51),J. Hornacek,31,51,82,1
NYK,NYK,2016,"D. Fisher (23-31), K. Rambis (9-19)",K. Rambis,9,19,28,2
NYK,NYK,2016,"D. Fisher (23-31), K. Rambis (9-19)",D. Fisher,23,31,54,1
NYK,NYK,2015,D. Fisher (17-65),D. Fisher,17,65,82,1
NYK,NYK,2014,M. Woodson (37-45),M. Woodson,37,45,82,1
NYK,NYK,2013,M. Woodson (54-28),M. Woodson,54,28,82,1
NYK,NYK,2012,"M. D'Antoni (18-24), M. Woodson (18-6)",M. Woodson,18,6,24,2
