slug,coach,franchise,seasons,games,wins,losses,min_year,max_year,left_truncated,ending
tomjanovich|01|03|HOU,R. Tomjanovich,HOU,3,246,116,130,2001,2003,True,resigned
gundy|04|07|HOU,J. Van Gundy,HOU,4,328,182,146,2004,2007,False,fired
adelman|08|11|HOU,R. Adelman,HOU,4,328,193,135,2008,2011,False,fired
mchale|12|16|HOU,K. McHale,HOU,5,323,193,130,2012,2016,False,fired
bickerstaff|16|16|HOU,J. Bickerstaff,HOU,1,71,37,34,2016,2016,False,interim only
d'antoni|17|17|HOU,M. D'Antoni,HOU,1,82,55,27,2017,2017,False,
thomas|01|03|IND,I. Thomas,IND,3,246,131,115,2001,2003,True,fired
carlisle|04|07|IND,R. Carlisle,IND,4,328,181,147,2004,2007,False,fired
o'brien|08|11|IND,J. O'Brien,IND,4,290,121,169,2008,2011,False,fired
vogel|11|16|IND,F. Vogel,IND,6,431,250,181,2011,2016,False,fired
mcmillan|17|17|IND,N. McMillan,IND,1,82,42,40,2017,2017,False,
gentry|01|03|LAC,A. Gentry,LAC,3,222,89,133,2001,2003,True,fired
johnson|03|03|LAC,D. Johnson,LAC,1,24,8,16,2003,2003,False,interim only
dunleavy|04|10|LAC,M. Dunleavy,LAC,7,541,215,326,2004,2010,False,resigned
hughes|10|10|LAC,K. Hughes,LAC,1,33,8,25,2010,2010,False,interim only
negro|11|13|LAC,V. Del Negro,LAC,3,230,128,102,2011,2013,False,fired
rivers|14|17|LAC,D. Rivers,LAC,4,328,217,111,2014,2017,False,
jackson|01|04|LAL,P. Jackson,LAL,4,328,220,108,2001,2004,True,fired
tomjanovich|05|05|LAL,R. Tomjanovich,LAL,1,43,24,19,2005,2005,False,resigned
hamblen|05|05|LAL,F. Hamblen,LAL,1,39,10,29,2005,2005,False,interim only
jackson|06|11|LAL,P. Jackson,LAL,6,492,323,169,2006,2011,False,resigned
brown|12|13|LAL,M. Brown,LAL,2,71,42,29,2012,2013,False,fired
bickerstaff|13|13|LAL,B. Bickerstaff,LAL,1,5,4,1,2013,2013,False,interim only
d'antoni|13|14|LAL,M. D'Antoni,LAL,2,154,67,87,2013,2014,False,mutual
scott|15|16|LAL,B. Scott,LAL,2,164,38,126,2015,2016,False,fired
walton|17|17|LAL,L. Walton,LAL,1,82,26,56,2017,2017,False,
riley|01|03|MIA,P. Riley,MIA,3,246,111,135,2001,2003,True,resigned
gundy|04|06|MIA,S. Van Gundy,MIA,3,185,112,73,2004,2006,False,resigned
riley|06|08|MIA,P. Riley,MIA,3,225,100,125,2006,2008,False,resigned
spoelstra|09|17|MIA,E. Spoelstra,MIA,9,722,440,282,2009,2017,False,
karl|01|03|MIL,G. Karl,MIL,3,246,135,111,2001,2003,True,fired
porter|04|05|MIL,T. Porter,MIL,2,164,71,93,2004,2005,False,fired
stotts|06|07|MIL,T. Stotts,MIL,2,146,63,83,2006,2007,False,fired
krystkowiak|07|08|MIL,L. Krystkowiak,MIL,2,100,31,69,2007,2008,False,fired
skiles|09|13|MIL,S. Skiles,MIL,5,344,162,182,2009,2013,False,mutual
boylan|13|13|MIL,J. Boylan,MIL,1,50,22,28,2013,2013,False,interim only
drew|14|14|MIL,L. Drew,MIL,1,82,15,67,2014,2014,False,fired
kidd|15|17|MIL,J. Kidd,MIL,3,246,116,130,2015,2017,False,
saunders|01|05|MIN,F. Saunders,MIN,5,379,231,148,2001,2005,True,fired
mchale|05|05|MIN,K. McHale,MIN,1,31,19,12,2005,2005,False,resigned
casey|06|07|MIN,D. Casey,MIN,2,122,53,69,2006,2007,False,fired
wittman|07|09|MIN,R. Wittman,MIN,3,143,38,105,2007,2009,False,fired
mchale|09|09|MIN,K. McHale,MIN,1,63,20,43,2009,2009,False,fired
rambis|10|11|MIN,K. Rambis,MIN,2,164,32,132,2010,2011,False,fired
adelman|12|14|MIN,R. Adelman,MIN,3,230,97,133,2012,2014,False,retired
saunders|15|15|MIN,F. Saunders,MIN,1,82,16,66,2015,2015,False,died
mitchell|16|16|MIN,S. Mitchell,MIN,1,82,29,53,2016,2016,False,interim only
thibodeau|17|17|MIN,T. Thibodeau,MIN,1,82,31,51,2017,2017,False,
scott|01|04|NJNBRK,B. Scott,NJNBRK,4,288,149,139,2001,2004,True,fired
frank|04|10|NJNBRK,L. Frank,NJNBRK,7,466,225,241,2004,2010,False,fired
barrise|10|10|NJNBRK,T. Barrise,NJNBRK,1,2,0,2,2010,2010,False,interim only
vandeweghe|10|10|NJNBRK,K. Vandeweghe,NJNBRK,1,64,12,52,2010,2010,False,interim only
johnson|11|13|NJNBRK,A. Johnson,NJNBRK,3,176,60,116,2011,2013,False,fired
carlesimo|13|13|NJNBRK,P. Carlesimo,NJNBRK,1,54,35,19,2013,2013,False,interim only
kidd|14|14|NJNBRK,J. Kidd,NJNBRK,1,82,44,38,2014,2014,False,traded
hollins|15|16|NJNBRK,L. Hollins,NJNBRK,2,119,48,71,2015,2016,False,fired
brown|16|16|NJNBRK,T. Brown,NJNBRK,1,45,11,34,2016,2016,False,interim only
atkinson|17|17|NJNBRK,K. Atkinson,NJNBRK,1,82,20,62,2017,2017,False,
silas|01|03|NORLHP,P. Silas,NORLHP,3,246,137,109,2001,2003,True,fired
floyd|04|04|NORLHP,T. Floyd,NORLHP,1,82,41,41,2004,2004,False,fired
scott|05|10|NORLHP,B. Scott,NORLHP,6,419,203,216,2005,2010,False,fired
bower|10|10|NORLHP,J. Bower,NORLHP,1,73,34,39,2010,2010,False,interim only
williams|11|15|NORLHP,M. Williams,NORLHP,5,394,173,221,2011,2015,False,fired
gentry|16|17|NORLHP,A. Gentry,NORLHP,2,164,64,100,2016,2017,False,
gundy|01|02|NYK,J. Van Gundy,NYK,2,101,58,43,2001,2002,True,resigned
chaney|02|04|NYK,D. Chaney,NYK,3,184,72,112,2002,2004,False,fired
williams|04|04|NYK,H. Williams,NYK,1,1,1,0,2004,2004,False,interim only
wilkens|04|05|NYK,L. Wilkens,NYK,2,81,40,41,2004,2005,False,resigned
williams|05|05|NYK,H. Williams,NYK,1,43,16,27,2005,2005,False,interim only
brown|06|06|NYK,L. Brown,NYK,1,82,23,59,2006,2006,False,fired
thomas|07|08|NYK,I. Thomas,NYK,2,164,56,108,2007,2008,False,fired
d'antoni|09|12|NYK,M. D'Antoni,NYK,4,288,121,167,2009,2012,False,resigned
woodson|12|14|NYK,M. Woodson,NYK,3,188,109,79,2012,2014,False,fired
fisher|15|16|NYK,D. Fisher,NYK,2,136,40,96,2015,2016,False,fired
rambis|16|16|NYK,K. Rambis,NYK,1,28,9,19,2016,2016,False,interim only
hornacek|17|17|NYK,J. Hornacek,NYK,1,82,31,51,2017,2017,False,
rivers|01|04|ORL,D. Rivers,ORL,4,257,130,127,2001,2004,True,fired
davis|04|05|ORL,J. Davis,ORL,2,135,51,84,2004,2005,False,fired
jent|05|05|ORL,C. Jent,ORL,1,18,5,13,2005,2005,False,interim only
hill|06|07|ORL,B. Hill,ORL,2,164,76,88,2006,2007,False,fired
gundy|08|12|ORL,S. Van Gundy,ORL,5,394,259,135,2008,2012,False,fired
vaughn|13|15|ORL,J. Vaughn,ORL,3,216,58,158,2013,2015,False,fired
borrego|15|15|ORL,J. Borrego,ORL,1,30,10,20,2015,2015,False,interim only
skiles|16|16|ORL,S. Skiles,ORL,1,82,35,47,2016,2016,False,resigned
vogel|17|17|ORL,F. Vogel,ORL,1,82,29,53,2017,2017,False,
brown|01|03|PHI,L. Brown,PHI,3,246,147,99,2001,2003,True,resigned
ayers|04|04|PHI,R. Ayers,PHI,1,52,21,31,2004,2004,False,fired
ford|04|04|PHI,C. Ford,PHI,1,30,12,18,2004,2004,False,interim only
o'brien|05|05|PHI,J. O'Brien,PHI,1,82,43,39,2005,2005,False,fired
cheeks|06|09|PHI,M. Cheeks,PHI,4,269,122,147,2006,2009,False,fired
dileo|09|09|PHI,T. DiLeo,PHI,1,59,32,27,2009,2009,False,interim only
jordan|10|10|PHI,E. Jordan,PHI,1,82,27,55,2010,2010,False,fired
