team,year,coaches_text
arizona,1977,Tony Mason (5-7)
arizona,1976,Jim Young (5-6)
arizona,1975,Jim Young (9-2)
arizona,1974,Jim Young (9-2)
arizona,1973,Jim Young (8-3)
arizona,1972,Bob Weber (4-7)
arizona,1971,Bob Weber (5-6)
arizona,1970,Bob Weber (4-6)
arizona,1969,Bob Weber (3-7)
arizona,1968,Darrell Mudra (8-3)
arizona,1967,Darrell Mudra (3-6-1)
arizona,1966,Jim LaRue (3-7)
arizona,1965,Jim LaRue (3-7)
arizona,1964,Jim LaRue (6-3-1)
arizona,1963,Jim LaRue (5-5)
arizona,1962,Jim LaRue (5-5)
arizona,1961,Jim LaRue (8-1-1)
arizona,1960,Jim LaRue (7-3)
arizona,1959,Jim LaRue (4-6)
arizona,1958,Edward Doherty (3-7)
arizona,1957,Edward Doherty (1-8-1)
arizona,1956,Warren Woodson (4-6)
arizona,1955,Warren Woodson (5-4-1)
arizona,1954,Warren Woodson (7-3)
arizona,1953,Warren Woodson (4-5-1)
arizona,1952,Warren Woodson (6-4)
arizona,1951,Robert Winslow (6-5)
arizona,1950,Robert Winslow (4-6)
arizona,1949,Robert Winslow (2-7-1)
arizona,1948,Miles Casteel (6-5)
arizona,1947,Miles Casteel (5-4-1)
arizona,1946,Miles Casteel (4-4-2)
arizona,1942,Miles Casteel (6-4)
arizona,1941,Miles Casteel (7-3)
arizona,1940,Miles Casteel (7-2)
arizona,1939,Miles Casteel (6-4)
arizona,1938,Orian Landreth (3-6)
arizona,1937,Tex Oliver (8-2)
arizona,1936,Tex Oliver (5-2-3)
arizona,1935,Tex Oliver (7-2)
arizona,1934,Tex Oliver (7-2-1)
arizona,1933,Tex Oliver (5-3)
arizona,1932,Gus Farwick (4-5)
arizona,1931,Fred Enke (3-5-1)
arizona-state,2017,Todd Graham (2-3)
arizona-state,2016,Todd Graham (5-7)
arizona-state,2015,Todd Graham (6-7)
arizona-state,2014,Todd Graham (10-3)
arizona-state,2013,Todd Graham (10-4)
arizona-state,2012,Todd Graham (8-5)
arizona-state,2011,Dennis Erickson (6-7)
arizona-state,2010,Dennis Erickson (6-6)
arizona-state,2009,Dennis Erickson (4-8)
arizona-state,2008,Dennis Erickson (5-7)
arizona-state,2007,Dennis Erickson (10-3)
arizona-state,2006,Dirk Koetter (7-6)
arizona-state,2005,Dirk Koetter (7-5)
arizona-state,2004,Dirk Koetter (9-3)
arizona-state,2003,Dirk Koetter (5-7)
arizona-state,2002,Dirk Koetter (8-6)
arizona-state,2001,Dirk Koetter (4-7)
arizona-state,2000,Bruce Snyder (6-6)
arizona-state,1999,Bruce Snyder (6-6)
arizona-state,1998,Bruce Snyder (5-6)
arizona-state,1997,Bruce Snyder (9-3)
arizona-state,1996,Bruce Snyder (11-1)
arizona-state,1995,Bruce Snyder (6-5)
arizona-state,1994,Bruce Snyder (3-8)
arizona-state,1993,Bruce Snyder (6-5)
arizona-state,1992,Bruce Snyder (6-5)
arizona-state,1991,Larry Marmie (6-5)
arizona-state,1990,Larry Marmie (4-7)
arizona-state,1989,Larry Marmie (6-4-1)
arizona-state,1988,Larry Marmie (6-5)
arizona-state,1987,John Cooper (7-4-1)
arizona-state,1986,John Cooper (10-1-1)
arizona-state,1985,John Cooper (8-4)
arizona-state,1984,Darryl Rogers (5-6)
arizona-state,1983,Darryl Rogers (6-4-1)
arizona-state,1982,Darryl Rogers (10-2)
arizona-state,1981,Darryl Rogers (9-2)
arizona-state,1980,Darryl Rogers (7-4)
arizona-state,1979,"Frank Kush (3-2), Bob Owens (3-4)"
arizona-state,1978,Frank Kush (9-3)
arizona-state,1977,Frank Kush (9-3)
arizona-state,1976,Frank Kush (4-7)
arizona-state,1975,Frank Kush (12-0)
arizona-state,1974,Frank Kush (7-5)
arizona-state,1973,Frank Kush (11-1)
arizona-state,1972,Frank Kush (10-2)
arizona-state,1971,Frank Kush (11-1)
arizona-state,1970,Frank Kush (11-0)
arizona-state,1969,Frank Kush (8-2)
arizona-state,1968,Frank Kush (8-2)
arizona-state,1967,Frank Kush (8-2)
arizona-state,1966,Frank Kush (5-5)
arizona-state,1965,Frank Kush (6-4)
arizona-state,1964,Frank Kush (8-2)
arizona-state,1963,Frank Kush (8-1)
arizona-state,1962,Frank Kush (7-2-1)
arizona-state,1961,Frank Kush (7-3)
arizona-state,1960,Frank Kush (7-3)
arizona-state,1959,Frank Kush (10-1)
arizona-state,1958,Frank Kush (7-3)
arizona-state,1957,Dan Devine (10-0)
arizona-state,1956,Dan Devine (9-1)
arizona-state,1955,Dan Devine (8-2-1)
arizona-state,1954,Clyde Smith (5-5)
arizona-state,1953,Clyde Smith (4-5-1)
arizona-state,1952,Clyde Smith (6-3)
arizona-state,1951,Larry Siemering (6-3-1)
arizona-state,1950,Edward Doherty (9-2)
arizona-state,1949,Edward Doherty (7-3)
arizona-state,1948,Edward Doherty (5-5)
arizona-state,1947,Edward Doherty (4-7)
arizona-state,1946,Steve Coutchie (2-7-2)
arizona-state,1942,Hilman Walker (2-8)
arizona-state,1941,Dixie Howell (5-5-1)
arizona-state,1940,Dixie Howell (7-2-2)
arizona-state,1939,Dixie Howell (8-2-1)
arizona-state,1938,Dixie Howell (3-6)
arizona-state,1937,Rudy Lavik (0-8-1)
arizona-state,1936,Rudy Lavik (4-5)
arizona-state,1935,Rudy Lavik (2-5-1)
arizona-state,1934,Rudy Lavik (4-3-1)
arizona-state,1933,Rudy Lavik (3-5)
arizona-state,1932,Ted Shipkey (4-3-1)
arizona-state,1931,Ted Shipkey (6-2)
arkansas,2017,Bret Bielema (2-3)
arkansas,2016,Bret Bielema (7-6)
arkansas,2015,Bret Bielema (8-5)
arkansas,2014,Bret Bielema (7-6)
arkansas,2013,Bret Bielema (3-9)
arkansas,2012,John Smith (4-8)
arkansas,2011,Bobby Petrino (11-2)
arkansas,2010,Bobby Petrino (10-3)
arkansas,2009,Bobby Petrino (8-5)
arkansas,2008,Bobby Petrino (5-7)
arkansas,2007,"Houston Nutt (8-4), Reggie Herring (0-1)"
arkansas,2006,Houston Nutt (10-4)
arkansas,2005,Houston Nutt (4-7)
arkansas,2004,Houston Nutt (5-6)
arkansas,2003,Houston Nutt (9-4)
arkansas,2002,Houston Nutt (9-5)
arkansas,2001,Houston Nutt (7-5)
arkansas,2000,Houston Nutt (6-6)
arkansas,1999,Houston Nutt (8-4)
arkansas,1998,Houston Nutt (9-3)
arkansas,1997,Danny Ford (4-7)
arkansas,1996,Danny Ford (4-7)
arkansas,1995,Danny Ford (8-5)
arkansas,1994,Danny Ford (4-7)
arkansas,1993,Danny Ford (5-5-1)
arkansas,1992,"Jack Crowe (0-1), Joe Kines (3-6-1)"
arkansas,1991,Jack Crowe (6-6)
arkansas,1990,Jack Crowe (3-8)
arkansas,1989,Ken Hatfield (10-2)
arkansas,1988,Ken Hatfield (10-2)
arkansas,1987,Ken Hatfield (9-4)
arkansas,1986,Ken Hatfield (9-3)
arkansas,1985,Ken Hatfield (10-2)
arkansas,1984,Ken Hatfield (7-4-1)
arkansas,1983,Lou Holtz (6-5)
arkansas,1982,Lou Holtz (9-2-1)
arkansas,1981,Lou Holtz (8-4)
arkansas,1980,Lou Holtz (7-5)
arkansas,1979,Lou Holtz (10-2)
arkansas,1978,Lou Holtz (9-2-1)
arkansas,1977,Lou Holtz (11-1)
arkansas,1976,Frank Broyles (5-5-1)
arkansas,1975,Frank Broyles (10-2)
arkansas,1974,Frank Broyles (6-4-1)
arkansas,1973,Frank Broyles (5-5-1)
arkansas,1972,Frank Broyles (6-5)
arkansas,1971,Frank Broyles (8-3-1)
arkansas,1970,Frank Broyles (9-2)
arkansas,1969,Frank Broyles (9-2)
arkansas,1968,Frank Broyles (10-1)
arkansas,1967,Frank Broyles (4-5-1)
arkansas,1966,Frank Broyles (8-2)
arkansas,1965,Frank Broyles (10-1)
arkansas,1964,Frank Broyles (11-0)
arkansas,1963,Frank Broyles (5-5)
arkansas,1962,Frank Broyles (9-2)
arkansas,1961,Frank Broyles (8-3)
arkansas,1960,Frank Broyles (8-3)
arkansas,1959,Frank Broyles (9-2)
arkansas,1958,Frank Broyles (4-6)
arkansas,1957,Jack Mitchell (6-4)
arkansas,1956,Jack Mitchell (6-4)
arkansas,1955,Jack Mitchell (5-4-1)
arkansas,1954,Bowden Wyatt (8-3)
arkansas,1953,Bowden Wyatt (3-7)
arkansas,1952,Otis Douglas (2-8)
arkansas,1951,Otis Douglas (5-5)
arkansas,1950,Otis Douglas (2-8)
arkansas,1949,John Barnhill (5-5)
arkansas,1948,John Barnhill (5-5)
arkansas,1947,John Barnhill (6-4-1)
arkansas,1946,John Barnhill (6-3-2)
arkansas,1945,Glen Rose (3-7)
arkansas,1944,Glen Rose (5-5-1)
arkansas,1943,John Tomlin (2-7)
arkansas,1942,George Cole (3-7)
arkansas,1941,Fred Thomsen (3-7)
arkansas,1940,Fred Thomsen (4-6)
arkansas,1939,Fred Thomsen (4-5-1)
arkansas,1938,Fred Thomsen (2-7-1)
arkansas,1937,Fred Thomsen (6-2-2)
arkansas,1936,Fred Thomsen (7-3)
arkansas,1935,Fred Thomsen (5-5)
arkansas,1934,Fred Thomsen (4-4-2)
arkansas,1933,Fred Thomsen (7-3-1)
arkansas,1932,Fred Thomsen (1-6-2)
arkansas,1931,Fred Thomsen (3-5-1)
arkansas,1930,Fred Thomsen (3-6)
arkansas,1929,Fred Thomsen (7-2)
arkansas,1928,Francis Schmidt (7-2)
arkansas,1927,Francis Schmidt (8-1)
arkansas,1926,Francis Schmidt (5-5)
arkansas,1925,Francis Schmidt (4-4-1)
arkansas,1924,Francis Schmidt (7-2-1)
arkansas,1923,Francis Schmidt (6-2-1)
arkansas,1922,Francis Schmidt (5-4)
arkansas,1921,George McLaren (5-3-1)
arkansas,1920,George McLaren (3-2-2)
arkansas,1919,J.B. Craig (3-4)
arkansas,1918,Norman Paine (3-2)
arkansas,1917,Norman Paine (5-1-1)
arkansas,1916,T.T. McConnell (4-4)
arkansas,1915,T.T. McConnell (4-2-1)
arkansas,1914,E.T. Pickering (4-5)
arkansas,1913,E.T. Pickering (7-2)
arkansas,1912,Hugo Bezdek (4-6)
arkansas,1911,Hugo Bezdek (6-2-1)
arkansas,1910,Hugo Bezdek (7-1)
arkansas,1909,Hugo Bezdek (7-0)
arkansas,1908,Hugo Bezdek (5-4)
arkansas,1907,Frank Longman (3-4-1)
arkansas,1906,Frank Longman (2-4-2)
auburn,2017,Gus Malzahn (5-1)
auburn,2016,Gus Malzahn (8-5)
auburn,2015,Gus Malzahn (7-6)
auburn,2014,Gus Malzahn (8-5)
auburn,2013,Gus Malzahn (12-2)
auburn,2012,Gene Chizik (3-9)
auburn,2011,Gene Chizik (8-5)
auburn,2010,Gene Chizik (14-0)
auburn,2009,Gene Chizik (8-5)
auburn,2008,Tommy Tuberville (5-7)
auburn,2007,Tommy Tuberville (9-4)
auburn,2006,Tommy Tuberville (11-2)
auburn,2005,Tommy Tuberville (9-3)
auburn,2004,Tommy Tuberville (13-0)
auburn,2003,Tommy Tuberville (8-5)
auburn,2002,Tommy Tuberville (9-4)
auburn,2001,Tommy Tuberville (7-5)
auburn,2000,Tommy Tuberville (9-4)
auburn,1999,Tommy Tuberville (5-6)
auburn,1998,"Terry Bowden (1-5), Bill Oliver (2-3)"
auburn,1997,Terry Bowden (10-3)
auburn,1996,Terry Bowden (8-4)
auburn,1995,Terry Bowden (8-4)
auburn,1994,Terry Bowden (9-1-1)
auburn,1993,Terry Bowden (11-0)
auburn,1992,Pat Dye (5-5-1)
auburn,1991,Pat Dye (5-6)
auburn,1990,Pat Dye (8-3-1)
auburn,1989,Pat Dye (10-2)
auburn,1988,Pat Dye (10-2)
auburn,1987,Pat Dye (9-1-2)
auburn,1986,Pat Dye (10-2)
auburn,1985,Pat Dye (8-4)
auburn,1984,Pat Dye (9-4)
auburn,1983,Pat Dye (11-1)
auburn,1982,Pat Dye (9-3)
auburn,1981,Pat Dye (5-6)
auburn,1980,Doug Barfield (5-6)
auburn,1979,Doug Barfield (8-3)
auburn,1978,Doug Barfield (6-4-1)
auburn,1977,Doug Barfield (5-6)
auburn,1976,Doug Barfield (3-8)
auburn,1975,Ralph Jordan (3-6-2)
auburn,1974,Ralph Jordan (10-2)
auburn,1973,Ralph Jordan (6-6)
auburn,1972,Ralph Jordan (10-1)
auburn,1971,Ralph Jordan (9-2)
auburn,1970,Ralph Jordan (9-2)
auburn,1969,Ralph Jordan (8-3)
auburn,1968,Ralph Jordan (7-4)
auburn,1967,Ralph Jordan (6-4)
auburn,1966,Ralph Jordan (4-6)
auburn,1965,Ralph Jordan (5-5-1)
auburn,1964,Ralph Jordan (6-4)
auburn,1963,Ralph Jordan (9-2)
auburn,1962,Ralph Jordan (6-3-1)
auburn,1961,Ralph Jordan (6-4)
auburn,1960,Ralph Jordan (8-2)
auburn,1959,Ralph Jordan (7-3)
auburn,1958,Ralph Jordan (9-0-1)
auburn,1957,Ralph Jordan (10-0)
auburn,1956,Ralph Jordan (7-3)
auburn,1955,Ralph Jordan (8-2-1)
auburn,1954,Ralph Jordan (8-3)
auburn,1953,Ralph Jordan (7-3-1)
auburn,1952,Ralph Jordan (2-8)
auburn,1951,Ralph Jordan (5-5)
auburn,1950,Earl Brown (0-10)
auburn,1949,Earl Brown (2-4-3)
auburn,1948,Earl Brown (1-8-1)
auburn,1947,Carl Voyles (2-7)
auburn,1946,Carl Voyles (4-6)
auburn,1945,Carl Voyles (5-5)
auburn,1944,Carl Voyles (4-4)
auburn,1942,Jack Meagher (6-4-1)
auburn,1941,Jack Meagher (4-5-1)
auburn,1940,Jack Meagher (6-4-1)
auburn,1939,Jack Meagher (5-5-1)
auburn,1938,Jack Meagher (4-5-1)
auburn,1937,Jack Meagher (6-2-3)
auburn,1936,Jack Meagher (7-2-2)
auburn,1935,Jack Meagher (8-2)
auburn,1934,Jack Meagher (2-8)
auburn,1933,Chet Wynne (5-5)
auburn,1932,Chet Wynne (9-0-1)
auburn,1931,Chet Wynne (5-3-1)
auburn,1930,Chet Wynne (3-7)
auburn,1929,"George Bohler (2-3), Red Floyd (0-4)"
auburn,1928,George Bohler (1-8)
auburn,1927,"David Morey (0-3), Boozer Pitts (0-4-2)"
auburn,1926,David Morey (5-4)
auburn,1925,David Morey (5-3-1)
auburn,1924,Boozer Pitts (4-4-1)
auburn,1923,Boozer Pitts (3-3-3)
auburn,1922,Mike Donahue (8-2)
auburn,1921,Mike Donahue (5-3)
auburn,1920,Mike Donahue (7-2)
auburn,1919,Mike Donahue (8-1)
auburn,1918,Mike Donahue (2-5)
auburn,1917,Mike Donahue (6-2-1)
auburn,1916,Mike Donahue (6-2)
auburn,1915,Mike Donahue (6-2)
auburn,1914,Mike Donahue (8-0-1)
auburn,1913,Mike Donahue (8-0)
auburn,1912,Mike Donahue (6-1-1)
auburn,1911,Mike Donahue (4-2-1)
auburn,1910,Mike Donahue (6-1)
auburn,1909,Mike Donahue (5-2)
auburn,1908,Mike Donahue (6-1)
auburn,1907,William Kienholz (6-2-1)
auburn,1906,Mike Donahue (1-5-1)
auburn,1905,Mike Donahue (2-4)
auburn,1904,Mike Donahue (5-0)
auburn,1903,Billy Bates (4-3)
auburn,1902,"Robert Kent (2-2-1), M.H. Harvey (0-2)"
baylor,2017,Matt Rhule (0-5)
baylor,2016,Jim Grobe (7-6)
baylor,2015,Art Briles (10-3)
baylor,2014,Art Briles (11-2)
baylor,2013,Art Briles (11-2)
baylor,2012,Art Briles (8-5)
baylor,2011,Art Briles (10-3)
baylor,2010,Art Briles (7-6)
baylor,2009,Art Briles (4-8)
baylor,2008,Art Briles (4-8)
baylor,2007,Guy Morriss (3-9)
baylor,2006,Guy Morriss (4-8)
baylor,2005,Guy Morriss (5-6)
baylor,2004,Guy Morriss (3-8)
baylor,2003,Guy Morriss (3-9)
baylor,2002,Kevin Steele (3-9)
baylor,2001,Kevin Steele (3-8)
baylor,2000,Kevin Steele (2-9)
baylor,1999,Kevin Steele (1-10)
baylor,1998,Dave Roberts (2-9)
baylor,1997,Dave Roberts (2-9)
baylor,1996,Chuck Reedy (4-7)
baylor,1995,Chuck Reedy (7-4)
baylor,1994,Chuck Reedy (7-5)
baylor,1993,Chuck Reedy (5-6)
baylor,1992,Grant Teaff (7-5)
baylor,1991,Grant Teaff (8-4)
baylor,1990,Grant Teaff (6-4-1)
baylor,1989,Grant Teaff (5-6)
baylor,1988,Grant Teaff (6-5)
baylor,1987,Grant Teaff (6-5)
baylor,1986,Grant Teaff (9-3)
