coach,teams,poc
Randy Walker,northwestern,
Reggie Herring,arkansas,
Rich Brooks,kentucky,
Robbie Caldwell,vanderbilt,
Ron McBride,utah,
Ron Prince,kansas-state,
Ron Turner,illinois,
Ron Vanderlinden,maryland,
Scott Shafer,syracuse,
Shawn Elliott,south-carolina,
Steve Addazio,boston-college,
Steve Kragthorpe,louisville,
Ted Roof,duke,
Terry Allen,kansas,
Terry Hoeppner,indiana,
Terry Shea,rutgers,
Tim Beckman,illinois,
Tim Brewster,minnesota,
Tim DeRuyter,texas-am,
Tim Kish,arizona,no
Tom Allen,indiana,
Tom Hayes,kansas,
Tom Holmoe,california,
Tom O'Brien,boston-college|north-carolina-state,
Tracy Claeys,minnesota,no
Vic Koenning,illinois,
Walt Harris,pittsburgh|stanford,
Woody Widenhofer,vanderbilt,
