franchise,team,year,coaches_text
MIN,MIN,2009,"R. Wittman (4-15), K. McHale (20-43)"
MIN,MIN,2008,R. Wittman (22-60)
MIN,MIN,2007,"D. Casey (20-20), R. Wittman (12-30)"
MIN,MIN,2006,D. Casey (33-49)
MIN,MIN,2005,"F. Saunders (25-26), K. McHale (19-12)"
MIN,MIN,2004,F. Saunders (58-24)
MIN,MIN,2003,F. Saunders (51-31)
MIN,MIN,2002,F. Saunders (50-32)
MIN,MIN,2001,F. Saunders (47-35)
MIN,MIN,2000,F. Saunders (50-32)
MIN,MIN,1999,F. Saunders (25-25)
MIN,MIN,1998,F. Saunders (45-37)
MIN,MIN,1997,F. Saunders (40-42)
MIN,MIN,1996,"B. Blair (6-14), F. Saunders (20-42)"
MIN,MIN,1995,B. Blair (21-61)
MIN,MIN,1994,S. Lowe (20-62)
MIN,MIN,1993,"J. Rodgers (6-23), S. Lowe (13-40)"
MIN,MIN,1992,J. Rodgers (15-67)
MIN,MIN,1991,B. Musselman (29-53)
MIN,MIN,1990,B. Musselman (22-60)
NORLHP,NOP,2018,A. Gentry (6-6)
NORLHP,NOP,2017,A. Gentry (34-48)
NORLHP,NOP,2016,A. Gentry (30-52)
NORLHP,NOP,2015,M. Williams (45-37)
NORLHP,NOP,2014,M. Williams (34-48)
NORLHP,NOH,2013,M. Williams (27-55)
NORLHP,NOH,2012,M. Williams (21-45)
NORLHP,NOH,2011,M. Williams (46-36)
NORLHP,NOH,2010,"B. Scott (3-6), J. Bower (34-39)"
NORLHP,NOH,2009,B. Scott (49-33)
NORLHP,NOH,2008,B. Scott (56-26)
NORLHP,NOK,2007,B. Scott (39-43)
NORLHP,NOK,2006,B. Scott (38-44)
NORLHP,NOH,2005,B. Scott (18-64)
NORLHP,NOH,2004,T. Floyd (41-41)
NORLHP,NOH,2003,P. Silas (47-35)
NYK,NYK,2018,J. Hornacek (6-5)
NYK,NYK,2017,J. Hornacek (31-51)
NYK,NYK,2016,"D. Fisher (23-31), K. Rambis (9-19)"
NYK,NYK,2015,D. Fisher (17-65)
NYK,NYK,2014,M. Woodson (37-45)
NYK,NYK,2013,M. Woodson (54-28)
NYK,NYK,2012,"M. D'Antoni (18-24), M. Woodson (18-6)"
NYK,NYK,2011,M. D'Antoni (42-40)
NYK,NYK,2010,M. D'Antoni (29-53)
NYK,NYK,2009,M. D'Antoni (32-50)
NYK,NYK,2008,I. Thomas (23-59)
NYK,NYK,2007,I. Thomas (33-49)
NYK,NYK,2006,L. Brown (23-59)
NYK,NYK,2005,"L. Wilkens (17-22), H. Williams (16-27)"
NYK,NYK,2004,"D. Chaney (15-24), H. Williams (1-0), L. Wilkens (23-19)"
NYK,NYK,2003,D. Chaney (37-45)
NYK,NYK,2002,"J. Van Gundy (10-9), D. Chaney (20-43)"
NYK,NYK,2001,J. Van Gundy (48-34)
NYK,NYK,2000,J. Van Gundy (50-32)
NYK,NYK,1999,J. Van Gundy (27-23)
NYK,NYK,1998,J. Van Gundy (43-39)
NYK,NYK,1997,J. Van Gundy (57-25)
NYK,NYK,1996,"D. Nelson (34-25), J. Van Gundy (13-10)"
NYK,NYK,1995,P. Riley (55-27)
NYK,NYK,1994,P. Riley (57-25)
